timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618500.022762060,-0.180467,-0.047844,-0.982417,-0.049525,-0.017187,-0.124787,-172.896375,-25.779527,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,78,78,1.000000,0,2.0000
1774618500.072674990,-0.182230,-0.050478,-0.981959,-0.049671,-0.017054,-0.125473,-172.890595,-25.791869,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,156,156,1.000000,0,2.0000
1774618500.122735977,-0.173591,-0.051815,-0.983454,-0.049339,-0.017811,-0.125080,-172.892604,-25.780911,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,182,182,1.000000,0,2.0000
1774618500.172748089,-0.171852,-0.050986,-0.983802,-0.049588,-0.016692,-0.124634,-172.899634,-25.777371,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,199,199,1.000000,0,2.0000
1774618500.222722054,-0.168933,-0.052117,-0.984249,-0.049637,-0.017775,-0.125158,-172.890213,-25.783486,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,215,215,1.000000,0,2.0000
1774618500.272717953,-0.166238,-0.051187,-0.984756,-0.049310,-0.017461,-0.124867,-172.896025,-25.780746,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,235,235,1.000000,0,2.0000
1774618500.322702885,-0.163766,-0.051092,-0.985175,-0.049321,-0.018833,-0.125149,-172.891629,-25.788237,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,243,243,1.000000,0,2.0000
1774618500.372766018,-0.163431,-0.051788,-0.985195,-0.049336,-0.017294,-0.124570,-172.894910,-25.776806,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,248,248,1.000000,0,2.0000
1774618500.422720909,-0.163900,-0.054215,-0.984986,-0.049641,-0.017364,-0.125062,-172.891281,-25.777983,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,258,258,1.000000,0,2.0000
1774618500.472775936,-0.162237,-0.054884,-0.985224,-0.049282,-0.017322,-0.125056,-172.890825,-25.782895,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,266,266,1.000000,0,2.0000
1774618500.522762060,-0.162451,-0.056307,-0.985109,-0.049428,-0.017022,-0.125511,-172.893786,-25.787871,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,272,272,1.000000,0,2.0000
1774618500.572731018,-0.161683,-0.055930,-0.985257,-0.049665,-0.016727,-0.125155,-172.893128,-25.777310,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,282,282,1.000000,0,2.0000
1774618500.622785091,-0.159889,-0.055631,-0.985566,-0.049386,-0.017034,-0.124753,-172.891989,-25.772359,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,289,289,1.000000,0,2.0000
1774618500.672749996,-0.159692,-0.055243,-0.985620,-0.049503,-0.017885,-0.125425,-172.888697,-25.785540,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,292,292,1.000000,0,2.0000
1774618500.722369909,-0.157968,-0.055466,-0.985885,-0.049310,-0.018039,-0.125533,-172.890653,-25.785788,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,300,300,1.000000,0,2.0000
1774618500.772804022,-0.156445,-0.054070,-0.986206,-0.049255,-0.017770,-0.125350,-172.890686,-25.782684,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,305,305,1.000000,0,2.0000
1774618500.822417974,-0.156751,-0.054965,-0.986107,-0.049247,-0.017044,-0.125123,-172.892281,-25.780045,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,306,306,1.000000,0,2.0000
1774618500.872837067,-0.153260,-0.054106,-0.986704,-0.049578,-0.017735,-0.125196,-172.890523,-25.792923,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,312,312,1.000000,0,2.0000
1774618500.922838926,-0.152061,-0.054938,-0.986843,-0.049425,-0.017596,-0.124934,-172.890434,-25.784161,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,318,318,1.000000,0,2.0000
1774618500.972383976,-0.150661,-0.053661,-0.987128,-0.049272,-0.017902,-0.125243,-172.889506,-25.784877,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,321,321,1.000000,0,2.0000
1774618501.022811890,-0.150123,-0.054220,-0.987179,-0.049672,-0.017446,-0.125034,-172.894454,-25.782838,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,323,323,1.000000,0,2.0000
1774618501.072407007,-0.151801,-0.055376,-0.986859,-0.048945,-0.017558,-0.124212,-172.894805,-25.756015,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,326,326,1.000000,0,2.0000
1774618501.122886896,-0.148676,-0.053710,-0.987426,-0.049662,-0.017704,-0.125169,-172.890862,-25.794721,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,331,331,1.000000,0,2.0000
1774618501.172831059,-0.148045,-0.052752,-0.987573,-0.049405,-0.017560,-0.124836,-172.892879,-25.789507,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,333,333,1.000000,0,2.0000
1774618501.222467899,-0.147684,-0.052760,-0.987626,-0.049500,-0.017853,-0.125516,-172.887862,-25.781395,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,334,334,1.000000,0,2.0000
1774618501.272449017,-0.147411,-0.051914,-0.987712,-0.049282,-0.017323,-0.125024,-172.891773,-25.769986,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,338,338,1.000000,0,2.0000
1774618501.322427034,-0.147991,-0.052249,-0.987608,-0.049588,-0.017116,-0.124642,-172.896678,-25.775142,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,342,342,1.000000,0,2.0000
1774618501.372450113,-0.148415,-0.052551,-0.987528,-0.049619,-0.017044,-0.125021,-172.891514,-25.788271,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,343,343,1.000000,0,2.0000
1774618501.422465086,-0.147484,-0.051604,-0.987717,-0.049130,-0.017251,-0.125126,-172.891782,-25.780590,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,345,345,1.000000,0,2.0000
1774618501.472462893,-0.146453,-0.051118,-0.987896,-0.049411,-0.017271,-0.125272,-172.890474,-25.793573,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,350,350,1.000000,0,2.0000
1774618501.522447109,-0.146235,-0.051095,-0.987929,-0.049637,-0.017260,-0.125170,-172.891342,-25.787851,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,352,352,1.000000,0,2.0000
1774618501.572489023,-0.144813,-0.050063,-0.988192,-0.049178,-0.017766,-0.125272,-172.890559,-25.785403,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,354,354,1.000000,0,2.0000
1774618501.622524023,-0.146663,-0.051005,-0.987871,-0.049713,-0.017441,-0.124395,-172.897111,-25.777221,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,361,361,1.000000,0,2.0000
1774618501.672521114,-0.144945,-0.050230,-0.988164,-0.049510,-0.017594,-0.124609,-172.895091,-25.782033,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,361,361,1.000000,0,2.0000
1774618501.722539902,-0.146711,-0.050877,-0.987870,-0.049917,-0.016373,-0.124853,-172.898335,-25.781963,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,365,365,1.000000,0,2.0000
