timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618630.668503046,0.023272,0.031949,-0.999219,0.000124,0.008994,-0.135149,176.594751,-3.919556,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,175,175,1.000000,0,2.0000
1774618630.718502998,0.018124,0.027690,-0.999452,0.001354,0.009753,-0.135485,176.575131,-3.935990,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,334,334,1.000000,0,2.0000
1774618630.768076897,0.022937,0.030953,-0.999258,0.000394,0.009213,-0.135312,176.566238,-3.932813,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,375,375,1.000000,0,2.0000
1774618630.818097115,0.027177,0.035358,-0.999005,-0.002306,0.007316,-0.135983,176.642169,-3.918805,0.0457,1.0000,0.4274,0.0457,1.0000,0.4274,399,399,1.000000,0,2.0000
1774618630.868110895,0.028312,0.031168,-0.999113,-0.000890,0.008652,-0.136022,176.563576,-3.957025,0.0465,1.0000,0.4279,0.0465,1.0000,0.4279,427,427,1.000000,0,2.0000
1774618630.918114901,0.029305,0.033244,-0.999018,-0.001168,0.008808,-0.135324,176.577876,-3.927066,0.0462,1.0000,0.4277,0.0462,1.0000,0.4277,460,460,1.000000,0,2.0000
1774618630.968518019,0.026811,0.033289,-0.999086,0.000608,0.010124,-0.135618,176.578436,-3.942848,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,474,474,1.000000,0,2.0000
1774618631.018127918,0.026409,0.033827,-0.999079,0.000209,0.008748,-0.135499,176.595094,-3.923604,0.0461,1.0000,0.4276,0.0461,1.0000,0.4276,485,485,1.000000,0,2.0000
1774618631.068114042,0.028329,0.035631,-0.998963,-0.004516,0.007194,-0.135647,176.620166,-3.911168,0.0458,1.0000,0.4275,0.0458,1.0000,0.4275,500,500,1.000000,0,2.0000
1774618631.118120909,0.026380,0.036467,-0.998987,-0.000410,0.008616,-0.135656,176.612065,-3.913447,0.0459,1.0000,0.4275,0.0459,1.0000,0.4275,514,514,1.000000,0,2.0000
1774618631.168148041,0.025375,0.038229,-0.998947,-0.000835,0.009027,-0.135532,176.576345,-3.938247,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,523,523,1.000000,0,2.0000
1774618631.218157053,0.026112,0.038003,-0.998936,-0.001435,0.008316,-0.135506,176.579517,-3.931266,0.0462,1.0000,0.4277,0.0462,1.0000,0.4277,531,531,1.000000,0,2.0000
1774618631.268138885,0.025161,0.037939,-0.998963,-0.001101,0.007890,-0.135734,176.616595,-3.920205,0.0459,1.0000,0.4275,0.0459,1.0000,0.4275,536,536,1.000000,0,2.0000
1774618631.318140030,0.024393,0.039078,-0.998938,-0.001632,0.009262,-0.135210,176.529884,-3.953475,0.0467,1.0000,0.4280,0.0467,1.0000,0.4280,550,550,1.000000,0,2.0000
1774618631.368175983,0.025182,0.039220,-0.998913,-0.002357,0.009000,-0.135250,176.547780,-3.948511,0.0466,1.0000,0.4279,0.0466,1.0000,0.4279,558,558,1.000000,0,2.0000
1774618631.418163061,0.026127,0.039200,-0.998890,-0.000649,0.008869,-0.135368,176.593277,-3.928058,0.0461,1.0000,0.4277,0.0461,1.0000,0.4277,565,565,1.000000,0,2.0000
1774618631.468173981,0.025684,0.039276,-0.998898,-0.001516,0.007560,-0.135574,176.637700,-3.908684,0.0457,1.0000,0.4274,0.0457,1.0000,0.4274,570,570,1.000000,0,2.0000
1774618631.518187046,0.025823,0.040117,-0.998861,-0.002444,0.008404,-0.135367,176.530039,-3.961063,0.0468,1.0000,0.4281,0.0468,1.0000,0.4281,574,574,1.000000,0,2.0000
1774618631.568191051,0.024928,0.040561,-0.998866,-0.002040,0.008315,-0.135107,176.541527,-3.950242,0.0466,1.0000,0.4280,0.0466,1.0000,0.4280,583,583,1.000000,0,2.0000
1774618631.618204117,0.025405,0.039396,-0.998901,-0.001525,0.008559,-0.135400,176.553346,-3.946574,0.0465,1.0000,0.4279,0.0465,1.0000,0.4279,585,585,1.000000,0,2.0000
1774618631.668225050,0.025850,0.039634,-0.998880,-0.001913,0.008323,-0.135278,176.545101,-3.947239,0.0466,1.0000,0.4279,0.0466,1.0000,0.4279,586,586,1.000000,0,2.0000
1774618631.718211889,0.024401,0.040954,-0.998863,-0.000772,0.009226,-0.134874,176.535009,-3.948139,0.0466,1.0000,0.4280,0.0466,1.0000,0.4280,594,594,1.000000,0,2.0000
1774618631.768210888,0.026360,0.040176,-0.998845,-0.002066,0.008163,-0.135413,176.562648,-3.942746,0.0464,1.0000,0.4279,0.0464,1.0000,0.4279,594,594,1.000000,0,2.0000
