timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618500.022762060,0.037085,0.030549,-0.998845,-0.049525,-0.017187,-0.124787,-172.896375,-25.779527,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,47,78,0.602564,0,2.0000
1774618500.072674990,0.036191,0.030136,-0.998890,-0.049614,-0.016851,-0.125110,-172.893012,-25.787670,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,93,156,0.596154,0,2.0000
1774618500.122735977,0.034563,0.029777,-0.998959,-0.049233,-0.017690,-0.124765,-172.894584,-25.779170,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,115,182,0.631868,0,2.0000
1774618500.172748089,0.033752,0.029350,-0.998999,-0.049566,-0.016376,-0.124367,-172.901557,-25.775992,0.2581,1.0000,0.5549,0.2581,1.0000,0.5549,131,200,0.655000,0,2.0000
1774618500.222722054,0.034272,0.029875,-0.998966,-0.049602,-0.017557,-0.124889,-172.892328,-25.779938,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,146,216,0.675926,0,2.0000
1774618500.272717953,0.033784,0.029570,-0.998992,-0.049350,-0.017351,-0.124737,-172.896919,-25.778701,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,164,235,0.697872,0,2.0000
1774618500.322702885,0.033930,0.030102,-0.998971,-0.049247,-0.018824,-0.124778,-172.894002,-25.785825,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,171,243,0.703704,0,2.0000
1774618500.372766018,0.032476,0.028904,-0.999054,-0.049257,-0.017265,-0.124426,-172.895836,-25.775382,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,174,248,0.701613,0,2.0000
1774618500.372766018,0.032476,0.028904,-0.999054,-0.049257,-0.017265,-0.124426,-172.895836,-25.775382,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,174,248,0.701613,0,2.0000
1774618500.422720909,0.032972,0.029004,-0.999035,-0.049217,-0.017566,-0.124767,-172.893586,-25.773099,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,182,258,0.705426,0,2.0000
1774618500.472775936,0.034791,0.030211,-0.998938,-0.049180,-0.017351,-0.124959,-172.891585,-25.783321,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,191,266,0.718045,0,2.0000
1774618500.522762060,0.033384,0.029038,-0.999021,-0.049346,-0.017070,-0.125272,-172.895254,-25.785417,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,195,274,0.711679,0,2.0000
1774618500.572731018,0.033166,0.029078,-0.999027,-0.049568,-0.016684,-0.125039,-172.893507,-25.775899,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,203,282,0.719858,0,2.0000
1774618500.622785091,0.035865,0.030400,-0.998894,-0.049335,-0.017002,-0.124531,-172.893626,-25.771222,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,211,289,0.730104,0,2.0000
1774618500.672749996,0.034518,0.029337,-0.998973,-0.049425,-0.018151,-0.125472,-172.887904,-25.789980,0.2586,1.0000,0.5551,0.2586,1.0000,0.5551,211,292,0.722603,0,2.0000
1774618500.722369909,0.034296,0.029985,-0.998962,-0.049273,-0.018033,-0.125409,-172.891783,-25.785206,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,219,300,0.730000,0,2.0000
1774618500.772804022,0.031195,0.028078,-0.999119,-0.049192,-0.017829,-0.125389,-172.886726,-25.782045,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,216,305,0.708197,0,2.0000
1774618500.822417974,0.034305,0.029968,-0.998962,-0.049153,-0.017063,-0.124842,-172.893962,-25.777185,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,225,306,0.735294,0,2.0000
1774618500.872837067,0.033126,0.029000,-0.999030,-0.049524,-0.017750,-0.125036,-172.891694,-25.791059,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,227,312,0.727564,0,2.0000
1774618500.922838926,0.034402,0.028856,-0.998991,-0.049249,-0.017698,-0.124757,-172.891657,-25.781351,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,230,318,0.723270,0,2.0000
1774618500.972383976,0.034028,0.029854,-0.998975,-0.049216,-0.018049,-0.125210,-172.889481,-25.783534,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,234,321,0.728972,0,2.0000
1774618501.022811890,0.034059,0.029857,-0.998974,-0.049613,-0.017346,-0.124663,-172.897018,-25.779019,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,236,323,0.730650,0,2.0000
1774618501.072407007,0.032866,0.028932,-0.999041,-0.048852,-0.017518,-0.123972,-172.896322,-25.753626,0.2581,1.0000,0.5549,0.2581,1.0000,0.5549,237,327,0.724771,0,2.0000
1774618501.122886896,0.034023,0.029470,-0.998986,-0.049528,-0.017780,-0.124765,-172.893447,-25.788155,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,242,332,0.728916,0,2.0000
1774618501.172831059,0.034099,0.029776,-0.998975,-0.049334,-0.017364,-0.124512,-172.895663,-25.785913,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,246,334,0.736527,0,2.0000
1774618501.222467899,0.033971,0.029748,-0.998980,-0.049473,-0.017900,-0.125417,-172.888540,-25.781433,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,247,335,0.737313,0,2.0000
1774618501.272449017,0.032835,0.028797,-0.999046,-0.049294,-0.017360,-0.124908,-172.892172,-25.770091,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,249,339,0.734513,0,2.0000
1774618501.322427034,0.036470,0.030202,-0.998878,-0.049559,-0.017091,-0.124476,-172.898070,-25.772382,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,255,343,0.743440,0,2.0000
1774618501.372450113,0.032761,0.028819,-0.999048,-0.049449,-0.017181,-0.124887,-172.892133,-25.787728,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,255,346,0.736994,0,2.0000
1774618501.422465086,0.035689,0.030053,-0.998911,-0.048903,-0.017241,-0.124866,-172.893755,-25.777701,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,261,347,0.752161,0,2.0000
1774618501.472462893,0.033792,0.029625,-0.998990,-0.049342,-0.017214,-0.125115,-172.892342,-25.791541,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,262,352,0.744318,0,2.0000
1774618501.522447109,0.034132,0.029654,-0.998977,-0.049599,-0.017084,-0.124924,-172.893698,-25.786207,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,263,353,0.745042,0,2.0000
1774618501.572489023,0.033910,0.029625,-0.998986,-0.049182,-0.017387,-0.124854,-172.893259,-25.781408,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,265,356,0.744382,0,2.0000
1774618501.622524023,0.033803,0.029578,-0.998991,-0.049823,-0.017146,-0.124430,-172.896645,-25.782544,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,267,360,0.741667,0,2.0000
1774618501.672521114,0.034313,0.029704,-0.998970,-0.049450,-0.017496,-0.124222,-172.897720,-25.778381,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,269,363,0.741047,0,2.0000
1774618501.722539902,0.033959,0.029639,-0.998984,-0.049920,-0.016324,-0.124606,-172.900285,-25.780283,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,274,366,0.748634,0,2.0000
1774618501.772536993,0.036499,0.030177,-0.998878,-0.049953,-0.016220,-0.124856,-172.895398,-25.778231,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,276,369,0.747967,0,2.0000
1774618501.822535038,0.034254,0.029664,-0.998973,-0.049900,-0.016590,-0.124610,-172.896267,-25.773690,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,276,370,0.745946,0,2.0000
1774618501.872543097,0.033861,0.029574,-0.998989,-0.050892,-0.016019,-0.124797,-172.891724,-25.780793,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,277,370,0.748649,0,2.0000
1774618501.922585011,0.033810,0.029595,-0.998990,-0.049960,-0.016648,-0.124540,-172.897925,-25.767349,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,282,376,0.750000,0,2.0000
1774618501.972549915,0.035636,0.029951,-0.998916,-0.050591,-0.015645,-0.125285,-172.890101,-25.784518,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,287,379,0.757256,0,2.0000
1774618502.022533894,0.034608,0.030074,-0.998948,-0.050060,-0.016737,-0.124952,-172.895285,-25.766748,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,288,382,0.753927,0,2.0000
1774618502.072575092,0.032905,0.028795,-0.999044,-0.049531,-0.017081,-0.124728,-172.893118,-25.784015,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,287,386,0.743523,0,2.0000
1774618502.122560024,0.033133,0.029050,-0.999029,-0.049376,-0.017023,-0.124441,-172.896422,-25.768057,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,291,390,0.746154,0,2.0000
1774618502.172550917,0.033336,0.029079,-0.999021,-0.049496,-0.015464,-0.124970,-172.889800,-25.776063,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,290,389,0.745501,0,2.0000
1774618502.222582102,0.034260,0.029809,-0.998968,-0.049436,-0.016794,-0.124907,-172.895710,-25.783538,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,292,390,0.748718,0,2.0000
1774618502.272578955,0.033133,0.029049,-0.999029,-0.048637,-0.016752,-0.125404,-172.888543,-25.777659,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,292,392,0.744898,0,2.0000
1774618502.322606087,0.033342,0.029077,-0.999021,-0.049750,-0.016960,-0.124764,-172.893614,-25.784744,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,292,393,0.743003,0,2.0000
