timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618630.668503046,0.023871,0.019639,-0.999522,0.000124,0.008994,-0.135149,176.594751,-3.919556,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,86,175,0.491429,0,2.0000
1774618630.718502998,0.027341,0.016431,-0.999491,0.001528,0.009848,-0.135472,176.573193,-3.937349,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,176,334,0.526946,0,2.0000
1774618630.768076897,0.027303,0.018340,-0.999459,0.000312,0.009317,-0.135358,176.571465,-3.931258,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,211,376,0.561170,0,2.0000
1774618630.818097115,0.034535,0.009643,-0.999357,-0.002177,0.007251,-0.136035,176.652608,-3.913944,0.0456,1.0000,0.4274,0.0456,1.0000,0.4274,221,400,0.552500,0,2.0000
1774618630.868110895,0.026973,0.014103,-0.999537,-0.000658,0.008661,-0.135995,176.562527,-3.958899,0.0465,1.0000,0.4279,0.0465,1.0000,0.4279,240,428,0.560748,0,2.0000
1774618630.918114901,0.034043,0.005990,-0.999402,-0.001142,0.008922,-0.135288,176.577907,-3.927114,0.0462,1.0000,0.4277,0.0462,1.0000,0.4277,267,461,0.579176,0,2.0000
1774618630.968518019,0.023642,0.017905,-0.999560,0.000916,0.010289,-0.135665,176.577143,-3.944638,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,265,475,0.557895,0,2.0000
1774618631.018127918,0.027302,0.014048,-0.999529,0.000525,0.008599,-0.135484,176.601471,-3.920011,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,284,486,0.584362,0,2.0000
1774618631.068114042,0.025459,0.014460,-0.999571,-0.004635,0.007069,-0.135872,176.611026,-3.924438,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,283,502,0.563745,0,2.0000
1774618631.118120909,0.025485,0.017170,-0.999528,0.000371,0.008917,-0.135547,176.610919,-3.913056,0.0459,1.0000,0.4275,0.0459,1.0000,0.4275,305,514,0.593385,0,2.0000
1774618631.168148041,0.028107,0.016062,-0.999476,-0.000590,0.009328,-0.135525,176.564563,-3.945093,0.0464,1.0000,0.4279,0.0464,1.0000,0.4279,318,525,0.605714,0,2.0000
1774618631.218157053,0.027028,0.015213,-0.999519,-0.001502,0.008293,-0.135484,176.577705,-3.932422,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,322,533,0.604128,0,2.0000
1774618631.268138885,0.022794,0.019780,-0.999544,-0.000828,0.008016,-0.135911,176.611265,-3.923770,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,314,539,0.582560,0,2.0000
1774618631.318140030,0.025596,0.015230,-0.999556,-0.000969,0.009285,-0.135215,176.545232,-3.946061,0.0466,1.0000,0.4279,0.0466,1.0000,0.4279,327,553,0.591320,0,2.0000
1774618631.368175983,0.028612,0.012747,-0.999509,-0.002410,0.008846,-0.135257,176.549015,-3.948383,0.0466,1.0000,0.4279,0.0466,1.0000,0.4279,349,561,0.622103,0,2.0000
1774618631.418163061,0.024972,0.017977,-0.999527,-0.000366,0.008893,-0.135341,176.596970,-3.925583,0.0461,1.0000,0.4276,0.0461,1.0000,0.4276,349,567,0.615520,0,2.0000
1774618631.468173981,0.025715,0.014869,-0.999559,-0.001499,0.007489,-0.135603,176.638459,-3.909837,0.0457,1.0000,0.4274,0.0457,1.0000,0.4274,341,572,0.596154,0,2.0000
1774618631.518187046,0.031955,0.009120,-0.999448,-0.002285,0.008403,-0.135464,176.537293,-3.960927,0.0467,1.0000,0.4280,0.0467,1.0000,0.4280,361,575,0.627826,0,2.0000
1774618631.568191051,0.027707,0.013053,-0.999531,-0.001686,0.008402,-0.135078,176.550697,-3.948545,0.0465,1.0000,0.4279,0.0465,1.0000,0.4279,361,585,0.617094,0,2.0000
