timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1777378484.406248093,-0.013726,-0.008749,-0.999868,-0.008187,0.004073,-0.132939,173.292041,-12.888851,0.1518,1.0000,0.4911,0.1518,1.0000,0.4911,100,100,1.000000,0,2.0000
1777378484.455883026,-0.012595,-0.008990,-0.999880,-0.007679,0.003570,-0.132918,173.311534,-12.892694,0.1515,1.0000,0.4909,0.1515,1.0000,0.4909,196,199,0.984925,0,2.0000
1777378484.505909920,-0.013072,-0.008971,-0.999874,-0.013610,0.005071,-0.133918,173.294591,-12.880404,0.1516,1.0000,0.4910,0.1516,1.0000,0.4910,248,252,0.984127,0,2.0000
1777378484.555860043,-0.014702,-0.009750,-0.999844,-0.014276,0.003045,-0.133983,173.283301,-12.856616,0.1516,1.0000,0.4910,0.1516,1.0000,0.4910,281,293,0.959044,0,2.0000
1777378484.605946064,-0.013984,-0.009210,-0.999860,-0.013473,0.000515,-0.132855,173.270428,-12.833064,0.1516,1.0000,0.4910,0.1516,1.0000,0.4910,319,319,1.000000,0,2.0000
1777378484.655869961,-0.012242,-0.009884,-0.999876,-0.012547,-0.001091,-0.132028,173.237881,-12.849723,0.1522,1.0000,0.4913,0.1522,1.0000,0.4913,325,346,0.939306,0,2.0000
1777378484.705951929,-0.014401,-0.009448,-0.999852,-0.015589,0.003302,-0.134035,173.156693,-12.890101,0.1538,1.0000,0.4923,0.1538,1.0000,0.4923,375,375,1.000000,0,2.0000
1777378484.755868912,-0.014552,-0.009404,-0.999850,-0.012338,-0.000507,-0.133161,173.190445,-12.827923,0.1527,1.0000,0.4916,0.1527,1.0000,0.4916,390,390,1.000000,0,2.0000
1777378484.805891037,-0.014863,-0.009400,-0.999845,-0.013023,0.000484,-0.132995,173.203021,-12.793451,0.1522,1.0000,0.4913,0.1522,1.0000,0.4913,408,408,1.000000,0,2.0000
1777378484.855896950,-0.015132,-0.009394,-0.999841,-0.014983,0.001987,-0.134137,173.225605,-12.809129,0.1520,1.0000,0.4912,0.1520,1.0000,0.4912,420,420,1.000000,0,2.0000
1777378484.905922890,-0.015332,-0.009364,-0.999839,-0.015791,0.000734,-0.133719,173.227724,-12.829769,0.1522,1.0000,0.4913,0.1522,1.0000,0.4913,440,440,1.000000,0,2.0000
1777378484.955919027,-0.015540,-0.009363,-0.999835,-0.015712,0.001591,-0.133883,173.204734,-12.784318,0.1521,1.0000,0.4913,0.1521,1.0000,0.4913,456,456,1.000000,0,2.0000
1777378485.005938053,-0.015910,-0.009204,-0.999831,-0.019233,0.005208,-0.135261,173.166375,-12.783160,0.1527,1.0000,0.4916,0.1527,1.0000,0.4916,477,477,1.000000,0,2.0000
1777378485.055999994,-0.016067,-0.009213,-0.999828,-0.017648,0.006460,-0.134657,173.203441,-12.764962,0.1520,1.0000,0.4912,0.1520,1.0000,0.4912,497,497,1.000000,0,2.0000
1777378485.105918884,-0.016333,-0.009207,-0.999824,-0.017619,0.005455,-0.134868,173.199094,-12.767197,0.1521,1.0000,0.4912,0.1521,1.0000,0.4912,513,513,1.000000,0,2.0000
1777378485.155936956,-0.016325,-0.009096,-0.999825,-0.020710,0.012752,-0.135247,173.079443,-12.752782,0.1537,1.0000,0.4922,0.1537,1.0000,0.4922,527,527,1.000000,0,2.0000
1777378485.205972910,-0.016357,-0.009049,-0.999825,-0.018997,0.004856,-0.134486,173.122932,-12.763843,0.1532,1.0000,0.4919,0.1532,1.0000,0.4919,540,540,1.000000,0,2.0000
1777378485.255956888,-0.016329,-0.009113,-0.999825,-0.017985,0.005583,-0.133952,173.130710,-12.753471,0.1530,1.0000,0.4918,0.1530,1.0000,0.4918,551,551,1.000000,0,2.0000
1777378485.305958033,-0.016391,-0.009121,-0.999824,-0.016521,0.007889,-0.134981,173.116645,-12.738419,0.1530,1.0000,0.4918,0.1530,1.0000,0.4918,560,560,1.000000,0,2.0000
1777378485.355993032,-0.016599,-0.009140,-0.999820,-0.019198,0.010454,-0.135670,173.146963,-12.724679,0.1525,1.0000,0.4915,0.1525,1.0000,0.4915,579,579,1.000000,0,2.0000
1777378485.406156063,-0.016944,-0.009030,-0.999816,-0.025545,0.011512,-0.135810,173.145065,-12.675850,0.1521,1.0000,0.4912,0.1521,1.0000,0.4912,604,604,1.000000,0,2.0000
1777378485.455991983,-0.017261,-0.008801,-0.999812,-0.024466,0.013311,-0.136704,173.081580,-12.508624,0.1515,1.0000,0.4909,0.1515,1.0000,0.4909,637,644,0.989130,0,2.0000
1777378485.506072998,-0.017212,-0.008982,-0.999812,-0.005594,0.013786,-0.133794,173.092604,-11.802933,0.1450,1.0000,0.4870,0.1450,1.0000,0.4870,659,664,0.992470,0,2.0000
1777378485.555984020,-0.017126,-0.008633,-0.999816,-0.022930,0.011037,-0.139525,173.321002,-11.637819,0.1403,1.0000,0.4842,0.1403,1.0000,0.4842,698,698,1.000000,0,2.0000
1777378485.606013060,-0.017099,-0.008688,-0.999816,-0.012946,0.001066,-0.134926,173.712898,-11.108898,0.1303,1.0000,0.4782,0.1303,1.0000,0.4782,735,735,1.000000,0,2.0000
1777378485.656053066,-0.016879,-0.008652,-0.999820,-0.007914,0.003994,-0.132771,174.184702,-10.375846,0.1179,1.0000,0.4707,0.1179,1.0000,0.4707,767,769,0.997399,0,2.0000
1777378485.706186056,-0.017339,-0.008913,-0.999810,-0.017132,0.007110,-0.136207,174.706633,-10.021031,0.1084,1.0000,0.4650,0.1084,1.0000,0.4650,797,807,0.987608,0,2.0000
1777378485.756058931,-0.017031,-0.008691,-0.999817,-0.005085,-0.010441,-0.127705,175.689804,-9.343199,0.0912,1.0000,0.4547,0.0912,1.0000,0.4547,841,841,1.000000,0,2.0000
1777378485.806036949,-0.017030,-0.008944,-0.999815,-0.005064,-0.020360,-0.132186,176.169847,-9.060351,0.0836,1.0000,0.4501,0.0836,1.0000,0.4501,882,882,1.000000,0,2.0000
