timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1777378484.406248093,-0.013726,-0.008749,-0.999868,-0.008187,0.004073,-0.132939,173.292041,-12.888851,0.1518,1.0000,0.4911,0.1518,1.0000,0.4911,100,100,1.000000,0,2.0000
1777378484.455883026,-0.012592,-0.008998,-0.999880,-0.007999,0.003767,-0.132871,173.312484,-12.892343,0.1515,1.0000,0.4909,0.1515,1.0000,0.4909,196,199,0.984925,0,2.0000
1777378484.505909920,-0.013676,-0.008917,-0.999867,-0.012966,0.004616,-0.133726,173.299655,-12.875640,0.1515,1.0000,0.4909,0.1515,1.0000,0.4909,250,250,1.000000,0,2.0000
1777378484.555860043,-0.013993,-0.008985,-0.999862,-0.013687,0.002613,-0.133949,173.284700,-12.852382,0.1515,1.0000,0.4909,0.1515,1.0000,0.4909,292,292,1.000000,0,2.0000
1777378484.605946064,-0.014128,-0.009094,-0.999859,-0.012857,-0.000174,-0.132924,173.274472,-12.830192,0.1515,1.0000,0.4909,0.1515,1.0000,0.4909,313,317,0.987382,0,2.0000
1777378484.655869961,-0.013469,-0.009630,-0.999863,-0.012249,-0.001472,-0.131997,173.238505,-12.847554,0.1522,1.0000,0.4913,0.1522,1.0000,0.4913,337,344,0.979651,0,2.0000
1777378484.705951929,-0.014385,-0.009500,-0.999851,-0.015235,0.002774,-0.133957,173.158877,-12.886341,0.1537,1.0000,0.4922,0.1537,1.0000,0.4922,374,374,1.000000,0,2.0000
1777378484.755868912,-0.014530,-0.009458,-0.999850,-0.012082,-0.000655,-0.133005,173.193467,-12.823508,0.1527,1.0000,0.4916,0.1527,1.0000,0.4916,389,389,1.000000,0,2.0000
1777378484.805891037,-0.014844,-0.009454,-0.999845,-0.012824,-0.000017,-0.133078,173.205333,-12.793383,0.1522,1.0000,0.4913,0.1522,1.0000,0.4913,407,407,1.000000,0,2.0000
1777378484.855896950,-0.015094,-0.009442,-0.999841,-0.014320,0.001330,-0.134060,173.227852,-12.803923,0.1520,1.0000,0.4912,0.1520,1.0000,0.4912,420,420,1.000000,0,2.0000
1777378484.905922890,-0.015291,-0.009439,-0.999839,-0.015562,0.000504,-0.133724,173.228517,-12.826651,0.1522,1.0000,0.4913,0.1522,1.0000,0.4913,441,441,1.000000,0,2.0000
1777378484.955919027,-0.015514,-0.009426,-0.999835,-0.015504,0.001332,-0.133775,173.208589,-12.781618,0.1521,1.0000,0.4912,0.1521,1.0000,0.4912,456,456,1.000000,0,2.0000
1777378485.005938053,-0.015881,-0.009261,-0.999831,-0.018750,0.004807,-0.135263,173.168163,-12.780195,0.1526,1.0000,0.4916,0.1526,1.0000,0.4916,476,476,1.000000,0,2.0000
1777378485.055999994,-0.016039,-0.009271,-0.999828,-0.017223,0.005949,-0.134619,173.204018,-12.760735,0.1519,1.0000,0.4912,0.1519,1.0000,0.4912,497,497,1.000000,0,2.0000
1777378485.105918884,-0.016304,-0.009264,-0.999824,-0.017164,0.005274,-0.134860,173.201306,-12.762301,0.1520,1.0000,0.4912,0.1520,1.0000,0.4912,513,513,1.000000,0,2.0000
1777378485.155936956,-0.016295,-0.009155,-0.999825,-0.020324,0.012157,-0.135249,173.082645,-12.749940,0.1537,1.0000,0.4922,0.1537,1.0000,0.4922,527,527,1.000000,0,2.0000
1777378485.205972910,-0.016312,-0.009111,-0.999825,-0.017880,0.004250,-0.134397,173.126968,-12.753320,0.1530,1.0000,0.4918,0.1530,1.0000,0.4918,538,538,1.000000,0,2.0000
1777378485.255956888,-0.016317,-0.009179,-0.999825,-0.017772,0.005333,-0.133971,173.133812,-12.749098,0.1529,1.0000,0.4917,0.1529,1.0000,0.4917,551,551,1.000000,0,2.0000
1777378485.305958033,-0.016385,-0.009194,-0.999823,-0.016571,0.008234,-0.134782,173.116705,-12.733718,0.1530,1.0000,0.4918,0.1530,1.0000,0.4918,561,561,1.000000,0,2.0000
1777378485.355993032,-0.016571,-0.009191,-0.999820,-0.019575,0.011016,-0.135604,173.146627,-12.722590,0.1525,1.0000,0.4915,0.1525,1.0000,0.4915,581,581,1.000000,0,2.0000
1777378485.406156063,-0.016915,-0.009080,-0.999816,-0.025073,0.011199,-0.135848,173.143970,-12.673923,0.1521,1.0000,0.4912,0.1521,1.0000,0.4912,607,607,1.000000,0,2.0000
1777378485.455991983,-0.017245,-0.008914,-0.999812,-0.023119,0.012774,-0.135991,173.095457,-12.485549,0.1511,1.0000,0.4907,0.1511,1.0000,0.4907,646,646,1.000000,0,2.0000
1777378485.506072998,-0.017044,-0.008777,-0.999816,-0.002523,0.012025,-0.133198,173.111599,-11.778198,0.1445,1.0000,0.4867,0.1445,1.0000,0.4867,670,670,1.000000,0,2.0000
1777378485.555984020,-0.017092,-0.008657,-0.999816,-0.022556,0.011198,-0.139226,173.321107,-11.633516,0.1403,1.0000,0.4842,0.1403,1.0000,0.4842,702,702,1.000000,0,2.0000
1777378485.606013060,-0.017049,-0.008676,-0.999817,-0.014326,0.002093,-0.134186,173.719201,-11.111478,0.1302,1.0000,0.4781,0.1302,1.0000,0.4781,738,738,1.000000,0,2.0000
1777378485.656053066,-0.017018,-0.008642,-0.999818,-0.008905,0.004378,-0.133199,174.179559,-10.396449,0.1181,1.0000,0.4709,0.1181,1.0000,0.4709,774,774,1.000000,0,2.0000
1777378485.706186056,-0.017090,-0.008577,-0.999817,-0.018010,0.008120,-0.136668,174.692974,-10.031581,0.1086,1.0000,0.4652,0.1086,1.0000,0.4652,810,810,1.000000,0,2.0000
1777378485.756058931,-0.016903,-0.008697,-0.999819,-0.007164,-0.009259,-0.128925,175.676038,-9.360176,0.0915,1.0000,0.4549,0.0915,1.0000,0.4549,841,843,0.997628,0,2.0000
1777378485.806036949,-0.017049,-0.008922,-0.999815,-0.005967,-0.019372,-0.132661,176.152730,-9.064536,0.0838,1.0000,0.4503,0.0838,1.0000,0.4503,882,882,1.000000,0,2.0000
1777378485.856067896,-0.017065,-0.008800,-0.999816,-0.016590,-0.004567,-0.138318,175.755440,-8.670957,0.0858,1.0000,0.4515,0.0858,1.0000,0.4515,910,911,0.998902,0,2.0000
1777378485.906229973,-0.017243,-0.008619,-0.999814,-0.019059,0.016333,-0.138290,175.418038,-7.984987,0.0846,1.0000,0.4508,0.0846,1.0000,0.4508,936,936,1.000000,0,2.0000
