timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1777379060.437004089,-0.016951,0.012071,-0.999783,-0.005892,0.052619,-0.123042,157.296754,6.112332,0.2153,1.0000,0.5292,0.2153,1.0000,0.5292,81,81,1.000000,0,2.0000
1777379060.487044096,-0.017253,0.011800,-0.999782,-0.002732,0.049074,-0.118991,155.769994,7.055112,0.2471,1.0000,0.5483,0.2471,1.0000,0.5483,155,155,1.000000,0,2.0000
1777379060.537060976,-0.017270,0.011635,-0.999783,-0.004415,0.047640,-0.118976,154.190593,8.148093,0.2840,1.0000,0.5704,0.2840,1.0000,0.5704,195,195,1.000000,0,2.0000
1777379060.587034941,-0.017345,0.011778,-0.999780,-0.004003,0.047022,-0.116220,152.455780,9.247347,0.3231,1.0000,0.5938,0.3231,1.0000,0.5938,223,223,1.000000,0,2.0000
1777379060.637063026,-0.017323,0.011992,-0.999778,-0.002479,0.045320,-0.113663,150.612590,10.345474,0.3635,1.0000,0.6181,0.3635,1.0000,0.6181,249,249,1.000000,0,2.0000
1777379060.687035084,-0.017304,0.012135,-0.999777,-0.000956,0.042865,-0.112032,148.582528,11.422726,0.4048,1.0000,0.6429,0.4048,1.0000,0.6429,271,271,1.000000,0,2.0000
1777379060.737063885,-0.017289,0.012160,-0.999777,-0.000385,0.045041,-0.109948,146.390719,12.431564,0.4448,1.0000,0.6669,0.4448,1.0000,0.6669,287,287,1.000000,0,2.0000
1777379060.787480116,-0.017346,0.012266,-0.999774,0.000309,0.040463,-0.105319,143.960010,13.362652,0.4827,1.0000,0.6896,0.4827,1.0000,0.6896,307,307,1.000000,0,2.0000
1777379060.837502956,-0.017264,0.012398,-0.999774,0.003319,0.036008,-0.102109,141.454238,14.262738,0.5177,1.0000,0.7106,0.5177,1.0000,0.7106,327,327,1.000000,0,2.0000
1777379060.887546062,-0.017245,0.012700,-0.999771,0.005839,0.031966,-0.100316,138.833912,15.058929,0.5472,1.0000,0.7283,0.5472,1.0000,0.7283,340,341,0.997067,0,2.0000
1777379060.937551022,-0.017195,0.012549,-0.999773,0.006289,0.032956,-0.098968,136.283952,15.706324,0.5686,1.0000,0.7411,0.5686,1.0000,0.7411,350,350,1.000000,0,2.0000
