timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1777378900.592664957,-0.005888,0.125583,-0.992066,-0.016678,0.082903,0.123929,-7.915406,-18.361035,0.2205,1.0000,0.5323,0.2205,1.0000,0.5323,69,118,0.584746,0,2.0000
1777378900.642268896,-0.002947,0.103966,-0.994576,-0.023129,0.079652,0.123216,-7.623761,-19.849241,0.2272,0.9955,0.5345,0.2272,0.9955,0.5345,121,221,0.547511,0,2.0000
1777378900.692241907,0.007258,0.129103,-0.991605,-0.027545,0.076803,0.120048,-7.194809,-21.401801,0.2303,1.0000,0.5382,0.2303,1.0000,0.5382,169,284,0.595070,0,2.0000
1777378900.742311001,0.031803,0.104646,-0.994001,-0.034648,0.062364,0.123153,-6.833100,-22.831471,0.2325,1.0000,0.5395,0.2325,1.0000,0.5395,197,337,0.584570,0,2.0000
1777378900.792318106,0.039494,0.119477,-0.992051,-0.040526,0.063659,0.117846,-6.079336,-24.748470,0.2271,1.0000,0.5363,0.2271,1.0000,0.5363,233,388,0.600515,0,2.0000
1777378900.842310905,0.034543,0.103742,-0.994004,-0.045451,0.056493,0.116072,-5.348441,-26.631635,0.2193,1.0000,0.5316,0.2193,1.0000,0.5316,245,429,0.571096,0,2.0000
1777378900.892362118,0.029170,0.119618,-0.992391,-0.053291,0.054436,0.115967,-4.529951,-28.611757,0.2071,1.0000,0.5243,0.2071,1.0000,0.5243,290,467,0.620985,0,2.0000
1777378900.942713976,0.037076,0.110381,-0.993198,-0.061757,0.044895,0.111759,-3.722423,-30.667760,0.1927,1.0000,0.5156,0.1927,1.0000,0.5156,304,502,0.605578,0,2.0000
1777378900.992789030,0.036855,0.105394,-0.993747,-0.062510,0.035197,0.111904,-2.985970,-32.467175,0.1772,1.0000,0.5063,0.1772,1.0000,0.5063,314,525,0.598095,0,2.0000
1777378901.042723894,0.044246,0.103964,-0.993596,-0.075310,0.040189,0.115040,-2.193636,-34.096275,0.1580,1.0000,0.4948,0.1580,1.0000,0.4948,304,542,0.560886,0,2.0000
1777378901.092803001,0.028648,0.121793,-0.992142,-0.075721,0.031511,0.115690,-1.426379,-35.402016,0.1375,1.0000,0.4825,0.1375,1.0000,0.4825,327,557,0.587074,0,2.0000
