timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1777378900.592664957,-0.005888,0.125583,-0.992066,-0.016678,0.082903,0.123929,-7.915406,-18.361035,0.2205,1.0000,0.5323,0.2205,1.0000,0.5323,69,118,0.584746,0,2.0000
1777378900.642268896,0.027346,0.105842,-0.994007,-0.022981,0.079724,0.123184,-7.623714,-19.849392,0.2272,1.0000,0.5363,0.2272,1.0000,0.5363,122,222,0.549550,0,2.0000
1777378900.692241907,0.027772,0.103407,-0.994251,-0.027442,0.076711,0.120271,-7.197507,-21.397719,0.2303,1.0000,0.5382,0.2303,1.0000,0.5382,160,285,0.561404,0,2.0000
1777378900.742311001,0.024768,0.101597,-0.994517,-0.034816,0.062386,0.123157,-6.830274,-22.834028,0.2325,1.0000,0.5395,0.2325,1.0000,0.5395,192,337,0.569733,0,2.0000
1777378900.792318106,0.006122,0.128916,-0.991637,-0.040409,0.063919,0.117837,-6.077852,-24.749482,0.2271,1.0000,0.5362,0.2271,1.0000,0.5362,232,388,0.597938,0,2.0000
1777378900.842310905,0.006315,0.124586,-0.992189,-0.045518,0.056517,0.116085,-5.347519,-26.632037,0.2193,1.0000,0.5316,0.2193,1.0000,0.5316,257,428,0.600467,0,2.0000
1777378900.892362118,0.065280,0.141440,-0.987792,-0.052631,0.053599,0.115863,-4.526278,-28.615594,0.2070,1.0000,0.5242,0.2070,1.0000,0.5242,249,466,0.534335,0,2.0000
1777378900.942713976,0.019000,0.106671,-0.994113,-0.061743,0.044713,0.111918,-3.722634,-30.665740,0.1927,1.0000,0.5156,0.1927,1.0000,0.5156,306,501,0.610778,0,2.0000
1777378900.992789030,0.046151,0.117432,-0.992008,-0.064936,0.033688,0.112012,-2.987610,-32.465035,0.1773,1.0000,0.5064,0.1773,1.0000,0.5064,301,522,0.576628,0,2.0000
1777378901.042723894,0.049823,0.138389,-0.989124,-0.075500,0.038545,0.114461,-2.184447,-34.108066,0.1577,1.0000,0.4946,0.1577,1.0000,0.4946,290,538,0.539033,0,2.0000
1777378901.092803001,0.038844,0.104819,-0.993732,-0.076151,0.031076,0.115566,-1.425777,-35.403507,0.1375,1.0000,0.4825,0.1375,1.0000,0.4825,299,554,0.539711,0,2.0000
1777378901.142791986,0.057000,0.134052,-0.989334,-0.074174,0.024860,0.117576,-0.737075,-36.419675,0.1182,1.0000,0.4709,0.1182,1.0000,0.4709,302,563,0.536412,0,2.0000
1777378901.192795038,0.044233,0.101721,-0.993829,-0.084093,0.019167,0.117062,-0.074900,-37.326206,0.0991,1.0000,0.4594,0.0991,1.0000,0.4594,331,573,0.577661,0,2.0000
1777378901.242775917,0.013803,0.106164,-0.994253,-0.081186,0.026216,0.116847,0.450682,-38.118360,0.1112,1.0000,0.4667,0.1112,1.0000,0.4667,337,582,0.579038,0,2.0000
1777378901.292396069,0.030198,0.107917,-0.993701,-0.095740,0.017641,0.117136,0.921224,-38.900643,0.1263,1.0000,0.4758,0.1263,1.0000,0.4758,363,591,0.614213,0,2.0000
1777378901.342391014,0.017206,0.117154,-0.992965,-0.098616,0.014260,0.116685,1.406745,-39.654536,0.1419,1.0000,0.4852,0.1419,1.0000,0.4852,346,596,0.580537,0,2.0000
1777378901.392391920,0.020764,0.101648,-0.994604,-0.091081,0.014600,0.116084,2.009177,-40.414856,0.1612,1.0000,0.4967,0.1612,1.0000,0.4967,338,594,0.569024,0,2.0000
1777378901.442373037,0.043621,0.124566,-0.991252,-0.093011,0.016623,0.112476,2.595242,-41.147989,0.1799,1.0000,0.5080,0.1799,1.0000,0.5080,333,604,0.551325,0,2.0000
1777378901.492419004,0.024717,0.096343,-0.995041,-0.098942,0.009233,0.113768,2.925940,-41.686645,0.1906,1.0000,0.5144,0.1906,1.0000,0.5144,325,608,0.534539,0,2.0000
1777378901.542402029,0.015135,0.106317,-0.994217,-0.106777,-0.000831,0.114913,3.213603,-42.272399,0.1999,1.0000,0.5200,0.1999,1.0000,0.5200,370,618,0.598706,0,2.0000
1777378901.592396975,0.010299,0.104831,-0.994437,-0.109173,-0.002004,0.113920,3.539262,-42.990508,0.2104,1.0000,0.5263,0.2104,1.0000,0.5263,364,622,0.585209,0,2.0000
1777378901.642407894,0.030158,0.100229,-0.994507,-0.109009,-0.000364,0.111891,3.895816,-43.835151,0.2218,1.0000,0.5331,0.2218,1.0000,0.5331,374,628,0.595541,0,2.0000
1777378901.692457914,0.014366,0.102874,-0.994591,-0.112264,-0.003600,0.108849,4.349252,-44.810094,0.2361,1.0000,0.5417,0.2361,1.0000,0.5417,373,633,0.589258,0,2.0000
1777378901.742441893,0.015325,0.113329,-0.993439,-0.119171,-0.010809,0.109326,4.860146,-45.648712,0.2519,1.0000,0.5511,0.2519,1.0000,0.5511,380,637,0.596546,0,2.0000
1777378901.792493105,0.041573,0.119095,-0.992012,-0.117049,-0.009416,0.105916,5.598772,-46.457639,0.2745,1.0000,0.5647,0.2745,1.0000,0.5647,376,647,0.581144,0,2.0000
1777378901.842438936,0.037137,0.111278,-0.993095,-0.116853,-0.022741,0.103262,6.436168,-47.137522,0.2997,1.0000,0.5798,0.2997,1.0000,0.5798,403,655,0.615267,0,2.0000
1777378901.892858982,0.014880,0.104697,-0.994393,-0.093663,0.018350,0.104648,7.328035,-47.663485,0.3264,1.0000,0.5959,0.3264,1.0000,0.5959,376,647,0.581144,0,2.0000
1777378901.942841053,-0.007068,0.108905,-0.994027,-0.107326,0.005979,0.105274,8.159019,-48.260950,0.3508,1.0000,0.6105,0.3508,1.0000,0.6105,349,654,0.533639,0,2.0000
