timestamp,nx,ny,nz,visibility_score,inlier_score,combined_score
1774618499.672631025,0.041300,0.035375,-0.998520,0.2509,0.9321,0.5234
1774618499.722671986,0.036295,0.035407,-0.998714,0.2510,1.0000,0.5506
1774618499.772692919,0.009164,0.023812,-0.999674,0.2510,1.0000,0.5506
1774618499.822663069,0.016441,0.027889,-0.999476,0.2508,1.0000,0.5505
1774618499.872701883,0.036424,0.035535,-0.998704,0.2505,1.0000,0.5503
1774618499.922712088,0.034706,0.033633,-0.998831,0.2506,1.0000,0.5504
1774618499.972651005,0.034293,0.033721,-0.998843,0.2510,1.0000,0.5506
1774618500.022762060,0.030408,0.029203,-0.999111,0.2510,1.0000,0.5506
1774618500.072674990,0.034117,0.032546,-0.998888,0.2508,1.0000,0.5505
1774618500.122735977,0.031663,0.031396,-0.999005,0.2509,1.0000,0.5505
1774618500.172748089,0.031617,0.030862,-0.999023,0.2509,1.0000,0.5505
1774618500.222722054,0.032112,0.031922,-0.998974,0.2510,1.0000,0.5506
1774618500.322702885,0.033465,0.032747,-0.998903,0.2509,1.0000,0.5505
1774618500.472775936,0.034594,0.034270,-0.998814,0.2509,1.0000,0.5506
1774618500.572731018,0.036768,0.033902,-0.998749,0.2509,1.0000,0.5505
1774618500.672749996,0.037739,0.035305,-0.998664,0.2510,1.0000,0.5506
1774618500.772804022,0.035726,0.033007,-0.998816,0.2509,1.0000,0.5505
1774618500.872837067,0.031482,0.032446,-0.998978,0.2509,1.0000,0.5505
1774618500.972383976,0.031949,0.033350,-0.998933,0.2509,1.0000,0.5505
1774618501.072407007,0.034680,0.031210,-0.998911,0.2508,1.0000,0.5505
1774618501.122886896,0.029529,0.029642,-0.999124,0.2510,1.0000,0.5506
1774618501.222467899,0.033095,0.032906,-0.998910,0.2510,1.0000,0.5506
1774618501.322427034,0.035932,0.034770,-0.998749,0.2508,1.0000,0.5505
1774618501.372450113,0.031004,0.031338,-0.999028,0.2510,1.0000,0.5506
1774618501.472462893,0.019260,0.032601,-0.999283,0.2510,1.0000,0.5506
1774618501.522447109,0.036270,0.033290,-0.998787,0.2507,1.0000,0.5504
1774618501.622524023,0.030247,0.031524,-0.999045,0.2509,1.0000,0.5505
1774618501.722539902,0.034155,0.032622,-0.998884,0.2508,1.0000,0.5505
1774618501.772536993,0.037542,0.033489,-0.998734,0.2509,1.0000,0.5505
1774618501.872543097,0.034285,0.032220,-0.998893,0.2509,1.0000,0.5505
1774618501.972549915,0.030630,0.031293,-0.999041,0.2510,1.0000,0.5506
1774618502.022533894,0.007097,0.024516,-0.999674,0.2508,1.0000,0.5505
1774618502.122560024,0.033415,0.032815,-0.998903,0.2509,1.0000,0.5506
1774618502.222582102,0.034890,0.032239,-0.998871,0.2510,1.0000,0.5506
1774618502.322606087,0.045011,0.033808,-0.998414,0.2509,1.0000,0.5506
1774618502.422585964,0.029855,0.031613,-0.999054,0.2502,1.0000,0.5501
1774618502.472642899,0.023917,0.034892,-0.999105,0.2503,1.0000,0.5502
1774618502.572640896,0.036780,0.031264,-0.998834,0.2508,1.0000,0.5505
1774618502.672624111,0.035491,0.032797,-0.998832,0.2509,1.0000,0.5506
1774618502.772639990,0.035294,0.033386,-0.998819,0.2509,1.0000,0.5505
1774618502.822640896,0.042688,0.035860,-0.998445,0.2508,1.0000,0.5505
1774618502.922682047,0.005012,0.019508,-0.999797,0.2546,1.0000,0.5527
1774618503.022684097,0.032633,0.031797,-0.998961,0.2617,1.0000,0.5570
1774618503.072676897,0.035208,0.033713,-0.998811,0.2623,1.0000,0.5574
1774618503.172280073,0.037716,0.033963,-0.998711,0.2613,0.9944,0.5546
