timestamp,extraction_ms,plane_fit_ms,validation_ms,post_fit_ms,smoothing_ms,total_ms
1784806540.9693,0.3690,0.3250,0.0530,0.0000,0.0390,2.6740
1784806541.0187,0.1530,0.0480,0.0060,0.0120,0.0200,0.2760
1784806541.0689,0.1400,0.0460,0.0050,0.0030,0.0170,0.2440
1784806541.1193,0.1700,0.1280,0.0070,0.0020,0.0190,0.3610
1784806541.1689,0.1870,0.1110,0.0070,0.0000,0.0130,0.3480
1784806541.2190,0.1880,0.1090,0.0080,0.0000,0.0240,0.3760
1784806541.2690,0.2130,0.0440,0.0060,0.0040,0.0140,0.3130
1784806541.3193,0.2210,0.0470,0.0070,0.0050,0.0140,0.3350
1784806541.3690,0.2320,0.0500,0.0060,0.0040,0.0160,0.3550
1784806541.4194,0.2310,0.0510,0.0070,0.0040,0.0140,0.3480
1784806541.4690,0.2140,0.0490,0.0060,0.0040,0.0130,0.3170
1784806541.5190,0.2200,0.0480,0.0050,0.0030,0.0120,0.3290
1784806541.5691,0.2360,0.0560,0.0070,0.0040,0.0140,0.3540
1784806541.6191,0.2090,0.0460,0.0050,0.0030,0.0140,0.3130
1784806541.6690,0.2390,0.0520,0.0070,0.0040,0.0150,0.3650
1784806541.7194,0.2930,0.0530,0.0070,0.0050,0.0140,0.4100
1784806541.7692,0.2330,0.0490,0.0040,0.0030,0.0310,0.3560
1784806541.8192,0.2310,0.0530,0.0070,0.0040,0.0140,0.3490
1784806541.8694,0.2250,0.0690,0.0070,0.0050,0.0150,0.3600
1784806541.9190,0.3290,0.0550,0.0080,0.0050,0.0140,0.4500
1784806541.9692,0.6310,0.1230,0.0160,0.0080,0.0430,0.9170
1784806542.0191,0.4690,0.1110,0.0120,0.0060,0.0380,0.7120
1784806542.0694,0.4810,0.1100,0.0120,0.0060,0.0380,0.7080
1784806542.1193,0.4250,0.0800,0.0120,0.0060,0.0270,0.6450
1784806542.1691,0.3420,0.0650,0.0090,0.0040,0.0140,0.4800
1784806542.2193,0.2550,0.0510,0.0070,0.0040,0.0130,0.3720
1784806542.2695,0.2830,0.0530,0.0080,0.0040,0.0140,0.4130
1784806542.3192,0.2600,0.0640,0.0070,0.0040,0.0210,0.3940
1784806542.3693,0.2760,0.0530,0.0080,0.0040,0.0170,0.4130
1784806542.4192,0.2570,0.0530,0.0060,0.0040,0.0140,0.3770
1784806542.4693,0.4630,0.0900,0.0120,0.0060,0.0270,0.6610
1784806542.5195,0.3390,0.0720,0.0080,0.0040,0.0210,0.4900
1784806542.5687,0.2920,0.0670,0.0070,0.0040,0.0140,0.4290
1784806542.6189,0.2740,0.0590,0.0080,0.0040,0.0160,0.4020
1784806542.6688,0.2670,0.0650,0.0070,0.0040,0.0130,0.4170
1784806542.7186,0.2950,0.0640,0.0080,0.0040,0.0200,0.4270
1784806542.7687,0.3250,0.0720,0.0080,0.0040,0.0170,0.4700
1784806542.8192,0.2870,0.0660,0.0080,0.0040,0.0160,0.4230
1784806542.8691,0.3260,0.0630,0.0080,0.0050,0.0150,0.4570
1784806542.9192,0.3010,0.0850,0.0080,0.0040,0.0220,0.4570
1784806542.9690,0.3660,0.0740,0.0080,0.0040,0.0140,0.5100
1784806543.0190,0.2940,0.1020,0.0080,0.0040,0.0130,0.4990
1784806543.0688,0.3390,0.0770,0.0070,0.0050,0.0150,0.4840
1784806543.1186,0.3260,0.0680,0.0080,0.0040,0.0160,0.4670
1784806543.1690,0.5170,0.1070,0.0120,0.0060,0.0280,0.7270
1784806543.2190,0.3760,0.0940,0.0080,0.0040,0.0260,0.5820
1784806543.2690,0.3290,0.0950,0.0080,0.0040,0.0150,0.4950
