timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1784806540.969284058,0.000000,0.000000,1.000000,-0.002271,0.013215,-0.134412,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,56,0.071429,0,1.0000
1784806541.018706083,-0.071906,0.005558,0.997396,-0.004583,0.013213,-0.135020,173.101598,-5.545107,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,79,109,0.724771,0,1.0000
1784806541.068927050,-0.067528,0.005302,0.997703,-0.008087,0.012434,-0.134914,173.100931,-5.538785,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,82,121,0.677686,0,1.0000
1784806541.119306087,-0.012222,0.101536,0.994757,-0.003650,0.012277,-0.136350,173.081720,-5.535477,0.0860,0.2308,0.1439,0.0860,0.2308,0.1439,15,130,0.115385,0,1.0000
1784806541.168904066,-0.012222,0.101536,0.994757,-0.001937,0.012448,-0.135405,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,134,0.097015,0,1.0000
1784806541.218960047,-0.012222,0.101536,0.994757,-0.005638,0.012635,-0.135232,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9,141,0.063830,0,1.0000
1784806541.268956900,-0.075085,0.005853,0.997160,-0.000200,0.017243,-0.135952,173.092466,-5.540394,0.0860,1.0000,0.4516,0.0860,1.0000,0.4516,105,145,0.724138,0,1.0000
1784806541.319330931,-0.072047,0.010822,0.997343,0.000617,0.012146,-0.135187,173.096512,-5.537774,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,151,0.761589,0,1.0000
1784806541.368978024,-0.068710,0.013816,0.997541,-0.003432,0.010721,-0.135323,173.106089,-5.543171,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,116,155,0.748387,0,1.0000
1784806541.419354916,-0.066776,0.014576,0.997662,-0.004476,0.011777,-0.134708,173.101038,-5.536916,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,157,0.732484,0,1.0000
1784806541.468980074,-0.069642,0.014248,0.997470,-0.007965,0.014724,-0.135457,173.098543,-5.539748,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,159,0.723270,0,1.0000
1784806541.519048929,-0.065979,0.014956,0.997709,-0.005359,0.012369,-0.135247,173.099345,-5.540359,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,161,0.714286,0,1.0000
1784806541.569124937,-0.070944,0.005789,0.997463,-0.002429,0.014045,-0.134838,173.099955,-5.540054,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,162,0.709877,0,1.0000
1784806541.619056940,-0.070000,0.014933,0.997435,-0.000755,0.013159,-0.134912,173.100127,-5.539145,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,117,163,0.717791,0,1.0000
1784806541.668989897,-0.075981,0.009201,0.997067,-0.002735,0.014276,-0.134869,173.099763,-5.539228,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,120,165,0.727273,0,1.0000
1784806541.719369888,-0.067932,0.010720,0.997632,-0.002513,0.014177,-0.134728,173.098740,-5.538172,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,122,166,0.734940,0,1.0000
1784806541.769165039,-0.077353,0.019945,0.996804,-0.001521,0.012559,-0.135044,173.102657,-5.540649,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,118,168,0.702381,0,1.0000
1784806541.819169998,-0.068551,0.004618,0.997637,-0.009345,0.013545,-0.134967,173.102812,-5.539343,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,122,168,0.726190,0,1.0000
1784806541.869405985,-0.064852,0.000209,0.997895,-0.005475,0.013800,-0.135056,173.096786,-5.538569,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,103,169,0.609467,0,1.0000
1784806541.919023991,-0.068748,0.006641,0.997612,-0.003829,0.014216,-0.135778,173.093500,-5.539604,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,124,171,0.725146,0,1.0000
1784806541.969172001,-0.070633,0.012312,0.997426,-0.001233,0.015955,-0.135617,173.096810,-5.540328,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,130,175,0.742857,0,1.0000
1784806542.019068003,-0.061737,0.020728,0.997877,-0.000875,0.011001,-0.135308,173.098989,-5.536303,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,102,177,0.576271,0,1.0000
1784806542.069434881,-0.082159,0.012412,0.996542,-0.002245,0.014084,-0.134641,173.100483,-5.536651,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,114,177,0.644068,0,1.0000
1784806542.119251013,-0.068535,0.005372,0.997634,-0.009270,0.013014,-0.135067,173.103000,-5.540895,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,130,179,0.726257,0,1.0000
1784806542.169137955,-0.067057,0.001855,0.997747,-0.007142,0.012392,-0.135364,173.099793,-5.540066,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,122,180,0.677778,0,1.0000
1784806542.219250917,-0.075433,0.008928,0.997111,-0.004382,0.013473,-0.135220,173.097553,-5.540679,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,133,182,0.730769,0,1.0000
1784806542.269537926,-0.069232,0.007879,0.997569,-0.005514,0.014938,-0.135837,173.093985,-5.539127,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,135,182,0.741758,0,1.0000
1784806542.319159031,-0.069320,0.001756,0.997593,0.000260,0.013272,-0.134967,173.096788,-5.538914,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,128,183,0.699454,0,1.0000
