timestamp,normal_type,nx,ny,nz,px,py,pz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1784806540.969284058,raw,0.000000,0.000000,1.000000,-0.002271,0.013215,-0.134412,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,56,0.071429,0,1.000000
1784806540.969284058,scored,0.000000,0.000000,1.000000,-0.002271,0.013215,-0.134412,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,56,0.071429,0,1.000000
1784806540.969284058,smoothed_raw,0.000000,0.000000,1.000000,-0.002271,0.013215,-0.134412,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,56,0.071429,0,1.000000
1784806540.969284058,smoothed_scored,0.000000,0.000000,1.000000,-0.002271,0.013215,-0.134412,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,56,0.071429,0,1.000000
1784806541.018706083,raw,-0.071906,0.005558,0.997396,-0.004583,0.013213,-0.135020,173.101598,-5.545107,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,79,109,0.724771,0,1.000000
1784806541.018706083,scored,-0.071906,0.005558,0.997396,-0.004583,0.013213,-0.135020,173.101598,-5.545107,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,79,109,0.724771,0,1.000000
1784806541.018706083,smoothed_raw,-0.032540,0.002515,0.999467,-0.004583,0.013213,-0.135020,173.101598,-5.545107,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,79,109,0.724771,0,1.000000
1784806541.018706083,smoothed_scored,-0.055207,0.004267,0.998466,-0.004583,0.013213,-0.135020,173.101598,-5.545107,0.0859,1.0000,0.4516,0.0859,1.0000,0.4516,79,109,0.724771,0,1.000000
1784806541.068927050,raw,-0.067528,0.005302,0.997703,-0.008087,0.012434,-0.134914,173.100931,-5.538785,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,82,121,0.677686,0,1.000000
1784806541.068927050,scored,-0.067528,0.005302,0.997703,-0.008087,0.012434,-0.134914,173.100931,-5.538785,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,82,121,0.677686,0,1.000000
1784806541.068927050,smoothed_raw,-0.065123,0.005068,0.997864,-0.008087,0.012434,-0.134914,173.100931,-5.538785,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,82,121,0.677686,0,1.000000
1784806541.068927050,smoothed_scored,-0.067618,0.005289,0.997697,-0.008087,0.012434,-0.134914,173.100931,-5.538785,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,82,121,0.677686,0,1.000000
1784806541.119306087,raw,-0.012222,0.101536,0.994757,-0.003650,0.012277,-0.136350,173.081720,-5.535477,0.0860,0.2308,0.1439,0.0860,0.2308,0.1439,15,130,0.115385,0,1.000000
1784806541.119306087,scored,-0.012222,0.101536,0.994757,-0.003650,0.012277,-0.136350,173.081720,-5.535477,0.0860,0.2308,0.1439,0.0860,0.2308,0.1439,15,130,0.115385,0,1.000000
1784806541.119306087,smoothed_raw,-0.044529,0.045833,0.997956,-0.003650,0.012277,-0.136350,173.081720,-5.535477,0.0860,0.2308,0.1439,0.0860,0.2308,0.1439,15,130,0.115385,0,1.000000
1784806541.119306087,smoothed_scored,-0.025747,0.078231,0.996603,-0.003650,0.012277,-0.136350,173.081720,-5.535477,0.0860,0.2308,0.1439,0.0860,0.2308,0.1439,15,130,0.115385,0,1.000000
1784806541.168904066,raw,-0.012222,0.101536,0.994757,-0.001937,0.012448,-0.135405,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,134,0.097015,0,1.000000
1784806541.168904066,scored,-0.012222,0.101536,0.994757,-0.001937,0.012448,-0.135405,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,134,0.097015,0,1.000000
1784806541.168904066,smoothed_raw,-0.016134,0.094792,0.995366,-0.001937,0.012448,-0.135405,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,134,0.097015,0,1.000000
1784806541.168904066,smoothed_scored,-0.012983,0.100224,0.994880,-0.001937,0.012448,-0.135405,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13,134,0.097015,0,1.000000
1784806541.218960047,raw,-0.012222,0.101536,0.994757,-0.005638,0.012635,-0.135232,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9,141,0.063830,0,1.000000
1784806541.218960047,scored,-0.012222,0.101536,0.994757,-0.005638,0.012635,-0.135232,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9,141,0.063830,0,1.000000
1784806541.218960047,smoothed_raw,-0.012320,0.101367,0.994773,-0.005638,0.012635,-0.135232,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9,141,0.063830,0,1.000000
1784806541.218960047,smoothed_scored,-0.012230,0.101521,0.994758,-0.005638,0.012635,-0.135232,173.081720,-5.535477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9,141,0.063830,0,1.000000
1784806541.268956900,raw,-0.075085,0.005853,0.997160,-0.000200,0.017243,-0.135952,173.092466,-5.540394,0.0860,1.0000,0.4516,0.0860,1.0000,0.4516,105,145,0.724138,0,1.000000
1784806541.268956900,scored,-0.075085,0.005853,0.997160,-0.000200,0.017243,-0.135952,173.092466,-5.540394,0.0860,1.0000,0.4516,0.0860,1.0000,0.4516,105,145,0.724138,0,1.000000
1784806541.268956900,smoothed_raw,-0.038710,0.061411,0.997362,-0.000200,0.017243,-0.135952,173.092466,-5.540394,0.0860,1.0000,0.4516,0.0860,1.0000,0.4516,105,145,0.724138,0,1.000000
1784806541.268956900,smoothed_scored,-0.059874,0.029150,0.997780,-0.000200,0.017243,-0.135952,173.092466,-5.540394,0.0860,1.0000,0.4516,0.0860,1.0000,0.4516,105,145,0.724138,0,1.000000
1784806541.319330931,raw,-0.072047,0.010822,0.997343,0.000617,0.012146,-0.135187,173.096512,-5.537774,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,151,0.761589,0,1.000000
1784806541.319330931,scored,-0.072047,0.010822,0.997343,0.000617,0.012146,-0.135187,173.096512,-5.537774,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,151,0.761589,0,1.000000
1784806541.319330931,smoothed_raw,-0.069406,0.014692,0.997480,0.000617,0.012146,-0.135187,173.096512,-5.537774,0.0859,1.0000,0.4515,0.0859,1.0000,0.4515,115,151,0.761589,0,1.000000
