timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806542.729,3303,0.00,121.11,1647.68,0.38
1784806542.729,3308,0.00,14.41,486.30,0.05
1784806542.729,3309,0.00,14.66,486.30,0.05
1784806542.779,3303,139.70,121.86,1647.68,0.39
1784806542.779,3308,0.00,14.41,486.30,0.05
1784806542.779,3309,0.00,14.66,486.30,0.05
1784806542.830,3303,678.50,122.61,1647.68,0.39
1784806542.830,3308,0.00,14.41,486.30,0.05
1784806542.830,3309,0.00,14.66,486.30,0.05
1784806542.880,3303,459.50,122.73,1647.68,0.39
1784806542.880,3308,0.00,14.41,486.30,0.05
1784806542.880,3309,0.00,14.66,486.30,0.05
1784806542.930,3303,339.30,122.73,1647.68,0.39
1784806542.930,3308,0.00,14.41,486.30,0.05
1784806542.930,3309,0.00,14.66,486.30,0.05
1784806542.980,3303,578.90,122.73,1647.68,0.39
1784806542.980,3308,0.00,14.41,486.30,0.05
1784806542.980,3309,0.00,14.66,486.30,0.05
1784806543.030,3303,199.50,123.48,1647.68,0.39
1784806543.030,3308,0.00,14.41,486.30,0.05
1784806543.030,3309,0.00,14.66,486.30,0.05
1784806543.080,3303,518.80,123.48,1647.68,0.39
1784806543.080,3308,0.00,14.41,486.30,0.05
1784806543.080,3309,0.00,14.66,486.30,0.05
1784806543.130,3303,159.60,123.64,1647.68,0.39
1784806543.130,3308,0.00,14.41,486.30,0.05
1784806543.130,3309,0.00,14.66,486.30,0.05
1784806543.180,3303,538.90,123.64,1647.68,0.39
1784806543.180,3308,0.00,14.41,486.30,0.05
1784806543.180,3309,0.00,14.66,486.30,0.05
1784806543.230,3303,539.60,123.77,1647.68,0.39
1784806543.230,3308,0.00,14.41,486.30,0.05
1784806543.230,3309,0.00,14.66,486.30,0.05
1784806543.280,3303,199.50,123.77,1647.68,0.39
1784806543.280,3308,0.00,14.41,486.30,0.05
1784806543.280,3309,0.00,14.66,486.30,0.05
1784806543.331,3303,499.00,123.77,1647.68,0.39
1784806543.331,3308,0.00,14.41,486.30,0.05
1784806543.331,3309,0.00,14.66,486.30,0.05
1784806543.381,3303,479.20,123.77,1647.68,0.39
1784806543.381,3308,0.00,14.41,486.30,0.05
1784806543.381,3309,0.00,14.66,486.30,0.05
1784806543.431,3303,159.60,123.77,1647.68,0.39
1784806543.431,3308,0.00,14.41,486.30,0.05
1784806543.431,3309,0.00,14.66,486.30,0.05
1784806543.481,3303,499.30,123.77,1647.68,0.39
1784806543.481,3308,0.00,14.41,486.30,0.05
1784806543.481,3309,0.00,14.66,486.30,0.05
1784806543.531,3303,279.40,124.39,1647.68,0.39
1784806543.531,3308,0.00,14.41,486.30,0.05
1784806543.531,3309,0.00,14.66,486.30,0.05
1784806543.581,3303,259.60,124.39,1647.68,0.39
1784806543.581,3308,0.00,14.41,486.30,0.05
1784806543.581,3309,0.00,14.66,486.30,0.05
1784806543.631,3303,479.10,124.39,1647.68,0.39
1784806543.631,3308,0.00,14.41,486.30,0.05
1784806543.631,3309,0.00,14.66,486.30,0.05
1784806543.681,3303,139.80,124.39,1647.68,0.39
1784806543.681,3308,0.00,14.41,486.30,0.05
1784806543.681,3309,0.00,14.66,486.30,0.05
1784806543.731,3303,519.50,124.39,1647.68,0.39
1784806543.731,3308,0.00,14.41,486.30,0.05
1784806543.731,3309,0.00,14.66,486.30,0.05
1784806543.781,3303,259.20,124.52,1647.68,0.39
1784806543.781,3308,0.00,14.41,486.30,0.05
1784806543.781,3309,0.00,14.66,486.30,0.05
1784806543.831,3303,439.60,124.52,1647.68,0.39
1784806543.831,3308,0.00,14.41,486.30,0.05
1784806543.831,3309,0.00,14.66,486.30,0.05
1784806543.881,3303,159.60,124.52,1647.68,0.39
1784806543.881,3308,0.00,14.41,486.30,0.05
1784806543.881,3309,0.00,14.66,486.30,0.05
1784806543.932,3303,499.30,124.52,1647.68,0.39
1784806543.932,3308,0.00,14.41,486.30,0.05
1784806543.932,3309,0.00,14.66,486.30,0.05
1784806543.982,3303,199.60,124.52,1647.68,0.39
1784806543.982,3308,0.00,14.41,486.30,0.05
1784806543.982,3309,0.00,14.66,486.30,0.05
1784806544.032,3303,498.90,124.52,1647.68,0.39
1784806544.032,3308,0.00,14.41,486.30,0.05
1784806544.032,3309,0.00,14.66,486.30,0.05
1784806544.082,3303,459.10,124.89,1647.68,0.39
1784806544.082,3308,0.00,14.41,486.30,0.05
1784806544.082,3309,0.00,14.66,486.30,0.05
1784806544.132,3303,419.50,124.89,1647.68,0.39
1784806544.132,3308,0.00,14.41,486.30,0.05
1784806544.132,3309,0.00,14.66,486.30,0.05
1784806544.182,3303,219.30,125.02,1647.68,0.40
1784806544.182,3308,0.00,14.41,486.30,0.05
1784806544.182,3309,0.00,14.66,486.30,0.05
1784806544.232,3303,319.90,125.14,1647.68,0.40
1784806544.232,3308,0.00,14.41,486.30,0.05
1784806544.232,3309,0.00,14.66,486.30,0.05
1784806544.282,3303,279.30,125.14,1647.68,0.40
1784806544.282,3308,0.00,14.41,486.30,0.05
1784806544.282,3309,0.00,14.66,486.30,0.05
1784806544.332,3303,339.40,125.14,1647.68,0.40
1784806544.332,3308,0.00,14.41,486.30,0.05
1784806544.332,3309,0.00,14.66,486.30,0.05
1784806544.382,3303,239.60,125.14,1647.68,0.40
1784806544.382,3308,0.00,14.41,486.30,0.05
1784806544.382,3309,0.00,14.66,486.30,0.05
1784806544.433,3303,499.10,125.14,1647.68,0.40
1784806544.433,3308,0.00,14.41,486.30,0.05
1784806544.433,3309,0.00,14.66,486.30,0.05
1784806544.483,3303,179.60,125.14,1647.68,0.40
1784806544.483,3308,0.00,14.41,486.30,0.05
1784806544.483,3309,0.00,14.66,486.30,0.05
1784806544.533,3303,499.20,125.14,1647.68,0.40
1784806544.533,3308,0.00,14.41,486.30,0.05
1784806544.533,3309,0.00,14.66,486.30,0.05
1784806544.583,3303,139.40,125.14,1647.68,0.40
1784806544.583,3308,0.00,14.41,486.30,0.05
1784806544.583,3309,0.00,14.66,486.30,0.05
1784806544.633,3303,559.30,125.14,1647.68,0.40
1784806544.633,3308,0.00,14.41,486.30,0.05
1784806544.633,3309,0.00,14.66,486.30,0.05
1784806544.683,3303,279.70,125.14,1647.68,0.40
1784806544.683,3308,0.00,14.41,486.30,0.05
1784806544.683,3309,0.00,14.66,486.30,0.05
1784806544.733,3303,319.40,125.14,1647.68,0.40
1784806544.733,3308,0.00,14.41,486.30,0.05
1784806544.733,3309,19.70,14.66,486.30,0.05
1784806544.783,3303,459.60,125.14,1647.68,0.40
1784806544.783,3308,0.00,14.41,486.30,0.05
1784806544.783,3309,0.00,14.66,486.30,0.05
1784806544.833,3303,199.40,125.14,1647.68,0.40
1784806544.833,3308,0.00,14.41,486.30,0.05
1784806544.833,3309,0.00,14.66,486.30,0.05
1784806544.883,3303,479.60,125.52,1647.68,0.40
1784806544.883,3308,0.00,14.41,486.30,0.05
1784806544.883,3309,0.00,14.66,486.30,0.05
1784806544.934,3303,239.50,126.77,1647.68,0.40
1784806544.934,3308,0.00,14.41,486.30,0.05
1784806544.934,3309,0.00,14.66,486.30,0.05
1784806544.984,3303,339.20,127.89,1647.68,0.40
1784806544.984,3308,0.00,14.41,486.30,0.05
1784806544.984,3309,0.00,14.66,486.30,0.05
1784806545.034,3303,318.40,123.33,1647.68,0.39
1784806545.034,3308,0.00,14.41,486.30,0.05
1784806545.034,3309,0.00,14.66,486.30,0.05
1784806545.084,3303,540.30,122.69,1647.68,0.39
