timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806410.821,3071,0.00,131.38,1647.78,0.42
1784806410.821,3076,0.00,14.56,486.30,0.05
1784806410.821,3100,0.00,14.38,486.30,0.05
1784806410.871,3071,299.40,131.38,1647.78,0.42
1784806410.871,3076,0.00,14.56,486.30,0.05
1784806410.871,3100,0.00,14.38,486.30,0.05
1784806410.922,3071,479.20,131.38,1647.78,0.42
1784806410.922,3076,0.00,14.56,486.30,0.05
1784806410.922,3100,0.00,14.38,486.30,0.05
1784806410.972,3071,219.70,131.50,1647.78,0.42
1784806410.972,3076,0.00,14.56,486.30,0.05
1784806410.972,3100,0.00,14.38,486.30,0.05
1784806411.022,3071,339.20,131.50,1647.78,0.42
1784806411.022,3076,0.00,14.56,486.30,0.05
1784806411.022,3100,0.00,14.38,486.30,0.05
1784806411.072,3071,299.80,131.50,1647.78,0.42
1784806411.072,3076,0.00,14.56,486.30,0.05
1784806411.072,3100,0.00,14.38,486.30,0.05
1784806411.122,3071,459.40,131.50,1647.78,0.42
1784806411.122,3076,0.00,14.56,486.30,0.05
1784806411.122,3100,0.00,14.38,486.30,0.05
1784806411.172,3071,219.70,131.50,1647.78,0.42
1784806411.172,3076,0.00,14.56,486.30,0.05
1784806411.172,3100,0.00,14.38,486.30,0.05
1784806411.222,3071,399.50,131.50,1647.78,0.42
1784806411.222,3076,0.00,14.56,486.30,0.05
1784806411.222,3100,0.00,14.38,486.30,0.05
1784806411.272,3071,259.60,131.50,1647.78,0.42
1784806411.272,3076,0.00,14.56,486.30,0.05
1784806411.272,3100,0.00,14.38,486.30,0.05
1784806411.322,3071,379.70,131.50,1647.78,0.42
1784806411.322,3076,0.00,14.56,486.30,0.05
1784806411.322,3100,0.00,14.38,486.30,0.05
1784806411.372,3071,457.90,131.50,1647.78,0.42
1784806411.372,3076,0.00,14.56,486.30,0.05
1784806411.372,3100,0.00,14.38,486.30,0.05
1784806411.422,3071,279.60,131.50,1647.78,0.42
1784806411.422,3076,0.00,14.56,486.30,0.05
1784806411.422,3100,0.00,14.38,486.30,0.05
1784806411.472,3071,499.40,131.50,1647.78,0.42
1784806411.472,3076,0.00,14.56,486.30,0.05
1784806411.472,3100,0.00,14.38,486.30,0.05
1784806411.523,3071,219.60,131.50,1647.78,0.42
1784806411.523,3076,0.00,14.56,486.30,0.05
1784806411.523,3100,0.00,14.38,486.30,0.05
1784806411.573,3071,539.20,131.50,1647.78,0.42
1784806411.573,3076,0.00,14.56,486.30,0.05
1784806411.573,3100,0.00,14.38,486.30,0.05
1784806411.623,3071,538.80,131.50,1647.78,0.42
1784806411.623,3076,0.00,14.56,486.30,0.05
1784806411.623,3100,0.00,14.38,486.30,0.05
1784806411.673,3071,419.40,131.50,1647.78,0.42
1784806411.673,3076,0.00,14.56,486.30,0.05
1784806411.673,3100,0.00,14.38,486.30,0.05
1784806411.723,3071,498.20,131.50,1647.78,0.42
1784806411.723,3076,0.00,14.56,486.30,0.05
1784806411.723,3100,0.00,14.38,486.30,0.05
1784806411.773,3071,618.10,131.50,1647.78,0.42
1784806411.773,3076,0.00,14.56,486.30,0.05
1784806411.773,3100,19.80,14.38,486.30,0.05
1784806411.823,3071,499.50,131.50,1647.78,0.42
1784806411.823,3076,0.00,14.56,486.30,0.05
1784806411.823,3100,0.00,14.38,486.30,0.05
1784806411.873,3071,459.30,131.50,1647.78,0.42
1784806411.873,3076,0.00,14.56,486.30,0.05
1784806411.873,3100,0.00,14.38,486.30,0.05
1784806411.923,3071,598.40,131.50,1647.78,0.42
1784806411.923,3076,0.00,14.56,486.30,0.05
1784806411.923,3100,0.00,14.38,486.30,0.05
1784806411.973,3071,439.70,131.50,1647.78,0.42
1784806411.973,3076,0.00,14.56,486.30,0.05
1784806411.973,3100,0.00,14.38,486.30,0.05
1784806412.024,3071,199.50,131.50,1647.78,0.42
1784806412.024,3076,0.00,14.56,486.30,0.05
1784806412.024,3100,0.00,14.38,486.30,0.05
1784806412.074,3071,499.80,131.50,1647.78,0.42
1784806412.074,3076,0.00,14.56,486.30,0.05
1784806412.074,3100,0.00,14.38,486.30,0.05
1784806412.124,3071,219.60,131.50,1647.78,0.42
1784806412.124,3076,0.00,14.56,486.30,0.05
1784806412.124,3100,0.00,14.38,486.30,0.05
1784806412.174,3071,539.40,131.50,1647.78,0.42
1784806412.174,3076,0.00,14.56,486.30,0.05
1784806412.174,3100,0.00,14.38,486.30,0.05
1784806412.224,3071,199.60,131.50,1647.78,0.42
1784806412.224,3076,0.00,14.56,486.30,0.05
1784806412.224,3100,0.00,14.38,486.30,0.05
1784806412.274,3071,478.90,131.50,1647.78,0.42
1784806412.274,3076,0.00,14.56,486.30,0.05
1784806412.274,3100,0.00,14.38,486.30,0.05
1784806412.324,3071,677.30,131.50,1647.78,0.42
1784806412.324,3076,0.00,14.56,486.30,0.05
1784806412.324,3100,0.00,14.38,486.30,0.05
1784806412.374,3071,399.70,131.50,1647.78,0.42
1784806412.374,3076,0.00,14.56,486.30,0.05
1784806412.374,3100,0.00,14.38,486.30,0.05
1784806412.424,3071,219.70,131.50,1647.78,0.42
1784806412.424,3076,0.00,14.56,486.30,0.05
1784806412.424,3100,0.00,14.38,486.30,0.05
1784806412.474,3071,459.50,131.50,1647.78,0.42
1784806412.474,3076,0.00,14.56,486.30,0.05
1784806412.474,3100,0.00,14.38,486.30,0.05
1784806412.524,3071,219.70,131.50,1647.78,0.42
1784806412.524,3076,0.00,14.56,486.30,0.05
1784806412.524,3100,0.00,14.38,486.30,0.05
1784806412.575,3071,378.70,131.50,1647.78,0.42
