timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1784806278.921895981,0.036612,0.005487,0.999314,0.032249,0.086541,-0.098983,139.969277,12.916107,0.4855,1.0000,0.6913,0.4855,1.0000,0.6913,24,30,0.800000,0,1.0000
1784806278.972162962,0.035222,0.004762,0.999368,0.033625,0.082896,-0.099100,140.000609,12.909760,0.4853,1.0000,0.6912,0.4853,1.0000,0.6912,47,61,0.770492,0,1.0000
1784806279.022166014,0.042077,0.016948,0.998971,0.029318,0.080563,-0.100297,139.982448,12.903956,0.4851,1.0000,0.6911,0.4851,1.0000,0.6911,53,68,0.779412,0,1.0000
1784806279.072252035,0.042319,0.018443,0.998934,0.027977,0.079163,-0.099700,140.002807,12.893022,0.4848,1.0000,0.6909,0.4848,1.0000,0.6909,56,73,0.767123,0,1.0000
1784806279.122497082,0.037184,0.009523,0.999263,0.027713,0.079238,-0.100241,139.999603,12.893482,0.4848,1.0000,0.6909,0.4848,1.0000,0.6909,60,77,0.779221,0,1.0000
1784806279.172125101,0.037184,0.009523,0.999263,0.027366,0.078303,-0.098991,140.006595,12.884055,0.4845,1.0000,0.6907,0.4845,1.0000,0.6907,60,78,0.769231,0,1.0000
1784806279.222192049,0.043197,0.019644,0.998873,0.026519,0.078797,-0.100642,139.999763,12.879079,0.4844,1.0000,0.6906,0.4844,1.0000,0.6906,58,80,0.725000,0,1.0000
1784806279.272542953,0.042338,0.018555,0.998931,0.027462,0.079134,-0.100321,139.997476,12.878848,0.4844,1.0000,0.6906,0.4844,1.0000,0.6906,59,80,0.737500,0,1.0000
1784806279.322331905,0.042640,0.019829,0.998894,0.026353,0.078454,-0.099947,140.000396,12.874280,0.4843,1.0000,0.6906,0.4843,1.0000,0.6906,61,83,0.734940,0,1.0000
1784806279.371958971,0.034865,0.005619,0.999376,0.029702,0.079699,-0.100599,139.996579,12.885957,0.4846,1.0000,0.6908,0.4846,1.0000,0.6908,60,83,0.722892,0,1.0000
1784806279.422327995,0.036948,0.008488,0.999281,0.029884,0.080053,-0.100070,139.991176,12.886359,0.4846,1.0000,0.6908,0.4846,1.0000,0.6908,65,84,0.773810,0,1.0000
1784806279.472186089,0.038314,0.011354,0.999201,0.028327,0.079572,-0.099693,139.997049,12.882849,0.4845,1.0000,0.6907,0.4845,1.0000,0.6907,65,84,0.773810,0,1.0000
1784806279.522346020,0.038314,0.011354,0.999201,0.029073,0.080656,-0.099344,139.992922,12.894328,0.4848,1.0000,0.6909,0.4848,1.0000,0.6909,65,84,0.773810,0,1.0000
1784806279.572340012,0.039966,0.014616,0.999094,0.030031,0.081394,-0.099450,139.990591,12.899892,0.4850,1.0000,0.6910,0.4850,1.0000,0.6910,63,85,0.741176,0,1.0000
1784806279.622359991,0.037563,0.011032,0.999233,0.027446,0.078453,-0.100109,140.007106,12.883511,0.4845,1.0000,0.6907,0.4845,1.0000,0.6907,64,86,0.744186,0,1.0000
1784806279.672163010,0.038752,0.012314,0.999173,0.028410,0.079347,-0.098936,140.022392,12.875766,0.4842,1.0000,0.6905,0.4842,1.0000,0.6905,67,88,0.761364,0,1.0000
1784806279.722335100,0.037553,0.011804,0.999225,0.029995,0.083630,-0.099349,139.982204,12.906568,0.4852,1.0000,0.6911,0.4852,1.0000,0.6911,64,90,0.711111,0,1.0000
1784806279.772588968,0.042597,0.020662,0.998879,0.025342,0.076836,-0.100723,140.015709,12.874713,0.4842,1.0000,0.6905,0.4842,1.0000,0.6905,64,90,0.711111,0,1.0000
1784806279.822379112,0.044777,0.022822,0.998736,0.025974,0.077098,-0.098978,140.029985,12.872452,0.4841,1.0000,0.6905,0.4841,1.0000,0.6905,61,91,0.670330,0,1.0000
1784806279.872612953,0.037280,0.009823,0.999257,0.029984,0.083151,-0.098803,140.001423,12.904791,0.4851,1.0000,0.6911,0.4851,1.0000,0.6911,68,92,0.739130,0,1.0000
1784806279.922267914,0.036492,0.010070,0.999283,0.028018,0.078504,-0.100242,140.006414,12.886048,0.4846,1.0000,0.6907,0.4846,1.0000,0.6907,64,93,0.688172,0,1.0000
1784806279.972213984,0.036492,0.010070,0.999283,0.028851,0.079894,-0.099792,140.003437,12.880356,0.4844,1.0000,0.6907,0.4844,1.0000,0.6907,64,93,0.688172,0,1.0000
1784806280.022031069,0.036492,0.010070,0.999283,0.027050,0.077158,-0.098654,140.034470,12.870472,0.4841,1.0000,0.6904,0.4841,1.0000,0.6904,64,93,0.688172,0,1.0000
1784806280.072237968,0.042388,0.020464,0.998892,0.033868,0.086102,-0.099163,139.981276,12.920833,0.4856,1.0000,0.6914,0.4856,1.0000,0.6914,64,93,0.688172,0,1.0000
1784806280.121887922,0.037542,0.010520,0.999240,0.032929,0.085841,-0.099255,139.980880,12.913695,0.4854,1.0000,0.6913,0.4854,1.0000,0.6913,70,94,0.744681,0,1.0000
1784806280.172259092,0.037542,0.010520,0.999240,0.032220,0.084714,-0.099847,139.984563,12.905400,0.4852,1.0000,0.6911,0.4852,1.0000,0.6911,70,94,0.744681,0,1.0000
