timestamp,extraction_ms,plane_fit_ms,validation_ms,post_fit_ms,smoothing_ms,total_ms
1784806278.9219,0.6200,0.2920,0.0720,0.0770,0.0720,4.9440
1784806278.9722,0.1090,0.0360,0.0060,0.0040,0.0140,0.2050
1784806279.0222,0.1410,0.0490,0.0090,0.0060,0.0250,0.2750
1784806279.0723,0.1130,0.0360,0.0070,0.0030,0.0160,0.2050
1784806279.1225,0.1310,0.0370,0.0060,0.0040,0.0130,0.2250
1784806279.1721,0.1130,0.0310,0.0050,0.0030,0.0360,0.2180
1784806279.2222,0.1420,0.0390,0.0060,0.0040,0.0210,0.2570
1784806279.2725,0.1190,0.0360,0.0050,0.0030,0.0260,0.2190
1784806279.3223,0.1160,0.0360,0.0050,0.0040,0.0190,0.2070
1784806279.3720,0.1450,0.0430,0.0060,0.0040,0.0130,0.2500
1784806279.4223,0.1430,0.0390,0.0050,0.0030,0.0140,0.2370
1784806279.4722,0.1430,0.0310,0.0050,0.0030,0.0130,0.2320
1784806279.5223,0.1550,0.0360,0.0060,0.0050,0.0130,0.2490
1784806279.5723,0.1370,0.0350,0.0060,0.0040,0.0120,0.2220
1784806279.6224,0.1600,0.0320,0.0050,0.0030,0.0120,0.2410
1784806279.6722,0.1650,0.0390,0.0070,0.0040,0.0150,0.2700
1784806279.7223,0.1560,0.0410,0.0050,0.0030,0.0130,0.2480
1784806279.7726,0.1710,0.0420,0.0080,0.0040,0.0130,0.2780
1784806279.8224,0.1490,0.0410,0.0050,0.0050,0.0120,0.2480
1784806279.8726,0.1850,0.0480,0.0080,0.0040,0.0180,0.2980
1784806279.9223,0.1930,0.0430,0.0060,0.0040,0.0170,0.2960
1784806279.9722,0.1950,0.0410,0.0060,0.0040,0.0160,0.2980
1784806280.0220,0.1640,0.0410,0.0060,0.0040,0.0130,0.2630
1784806280.0722,0.1960,0.0470,0.0070,0.0040,0.0130,0.3110
1784806280.1219,0.1730,0.0360,0.0060,0.0030,0.0210,0.2800
1784806280.1723,0.1700,0.0420,0.0070,0.0050,0.0220,0.2930
1784806280.2223,0.3090,0.0670,0.0110,0.0060,0.0230,0.4740
1784806280.2719,0.2160,0.0460,0.0060,0.0040,0.0190,0.3380
1784806280.3217,0.1880,0.0430,0.0060,0.0040,0.0290,0.3030
1784806280.3719,0.2160,0.0560,0.0070,0.0040,0.0170,0.3390
1784806280.4223,0.2980,0.0750,0.0110,0.0070,0.0370,0.5000
1784806280.4721,0.1850,0.0570,0.0110,0.0050,0.0260,0.3680
1784806280.5219,0.1910,0.0660,0.0060,0.0050,0.0220,0.3330
1784806280.5721,0.2760,0.0710,0.0070,0.0040,0.0170,0.4120
1784806280.6223,0.2450,0.0730,0.0060,0.0050,0.0300,0.4000
1784806280.6721,0.2160,0.0800,0.0060,0.0040,0.0200,0.3600
1784806280.7223,0.2360,0.0890,0.0080,0.0040,0.0130,0.3890
1784806280.7723,0.2260,0.0970,0.0070,0.0050,0.0140,0.3880
1784806280.8223,0.2160,0.0950,0.0070,0.0050,0.0140,0.3760
1784806280.8724,0.2420,0.0990,0.0080,0.0040,0.0130,0.4030
1784806280.9222,0.2350,0.1100,0.0080,0.0050,0.0200,0.4220
1784806280.9722,0.2510,0.1250,0.0080,0.0040,0.0130,0.4400
1784806281.0220,0.2540,0.1220,0.0070,0.0040,0.0220,0.4470
1784806281.0722,0.2540,0.1260,0.0080,0.0040,0.0210,0.4520
1784806281.1222,0.2360,0.1290,0.0080,0.0060,0.0150,0.4340
1784806281.1720,0.2770,0.2150,0.0080,0.0050,0.0140,0.5570
1784806281.2221,0.2720,0.1540,0.0070,0.0050,0.0130,0.4990
1784806281.2718,0.2790,0.1640,0.0070,0.0050,0.0130,0.5190
1784806281.3219,0.2530,0.2180,0.0070,0.0050,0.0240,0.5510
1784806281.3721,0.2520,0.2040,0.0070,0.0050,0.0300,0.5380
