timestamp,pid,cpu_percent,ram_rss_mb,ram_vms_mb,ram_percent
1784806010.404,2372,0.00,120.53,1647.71,0.38
1784806010.404,2375,0.00,14.41,486.30,0.05
1784806010.404,2384,0.00,14.57,486.30,0.05
1784806010.454,2372,339.10,120.53,1647.71,0.38
1784806010.454,2375,0.00,14.41,486.30,0.05
1784806010.454,2384,0.00,14.57,486.30,0.05
1784806010.504,2372,299.90,120.65,1647.71,0.38
1784806010.504,2375,0.00,14.41,486.30,0.05
1784806010.504,2384,0.00,14.57,486.30,0.05
1784806010.554,2372,299.50,120.65,1647.71,0.38
1784806010.554,2375,0.00,14.41,486.30,0.05
1784806010.554,2384,0.00,14.57,486.30,0.05
1784806010.604,2372,339.10,120.65,1647.71,0.38
1784806010.604,2375,0.00,14.41,486.30,0.05
1784806010.604,2384,0.00,14.57,486.30,0.05
1784806010.654,2372,499.50,120.65,1647.71,0.38
1784806010.654,2375,0.00,14.41,486.30,0.05
1784806010.654,2384,0.00,14.57,486.30,0.05
1784806010.704,2372,139.70,120.65,1647.71,0.38
1784806010.704,2375,0.00,14.41,486.30,0.05
1784806010.704,2384,0.00,14.57,486.30,0.05
1784806010.755,2372,519.50,120.65,1647.71,0.38
1784806010.755,2375,0.00,14.41,486.30,0.05
1784806010.755,2384,0.00,14.57,486.30,0.05
1784806010.805,2372,299.40,120.78,1647.71,0.38
1784806010.805,2375,0.00,14.41,486.30,0.05
1784806010.805,2384,0.00,14.57,486.30,0.05
1784806010.855,2372,459.30,120.78,1647.71,0.38
1784806010.855,2375,0.00,14.41,486.30,0.05
1784806010.855,2384,0.00,14.57,486.30,0.05
1784806010.905,2372,159.70,120.78,1647.71,0.38
1784806010.905,2375,0.00,14.41,486.30,0.05
1784806010.905,2384,0.00,14.57,486.30,0.05
1784806010.955,2372,538.90,120.78,1647.71,0.38
1784806010.955,2375,0.00,14.41,486.30,0.05
1784806010.955,2384,0.00,14.57,486.30,0.05
1784806011.005,2372,119.60,120.78,1647.71,0.38
1784806011.005,2375,0.00,14.41,486.30,0.05
1784806011.005,2384,0.00,14.57,486.30,0.05
1784806011.055,2372,619.80,120.90,1647.71,0.38
1784806011.055,2375,0.00,14.41,486.30,0.05
1784806011.055,2384,0.00,14.57,486.30,0.05
1784806011.105,2372,459.00,121.60,1647.71,0.38
1784806011.105,2375,0.00,14.41,486.30,0.05
1784806011.105,2384,0.00,14.57,486.30,0.05
1784806011.155,2372,139.60,121.60,1647.71,0.38
1784806011.155,2375,0.00,14.41,486.30,0.05
1784806011.155,2384,0.00,14.57,486.30,0.05
1784806011.205,2372,499.40,122.10,1647.71,0.39
1784806011.205,2375,0.00,14.41,486.30,0.05
1784806011.205,2384,0.00,14.57,486.30,0.05
1784806011.256,2372,657.90,122.10,1647.71,0.39
1784806011.256,2375,0.00,14.41,486.30,0.05
