scan_id,timestamp,pos_x,pos_y,pos_z,GT_nx,GT_ny,GT_nz,num_neighbors
001,1782805491.428905010,16.883004300,4.433114182,-35.179966128,0.084606157,-0.006925521,0.996390403,104
002,1782805491.479059935,16.778042529,4.474278116,-35.567710272,0.068419055,0.091487316,0.993453020,112
003,1782805491.529073000,16.274024497,4.101692691,-36.856329663,0.068419055,0.091487316,0.993453020,112
004,1782805491.578674078,16.823098370,4.246622737,-35.791414594,0.068419055,0.091487316,0.993453020,112
005,1782805491.628683090,17.266801670,3.386936859,-33.057999907,0.079171974,-0.000627402,0.996860775,100
006,1782805491.679102898,16.883471804,3.440664505,-35.194521072,0.084606157,-0.006925521,0.996390403,104
007,1782805491.728873014,16.724655183,3.541225128,-35.443956892,0.068419055,0.091487316,0.993453020,112
008,1782805491.778702021,17.015171370,4.315721383,-36.396709676,0.051444189,-0.002802401,0.998671939,103
009,1782805491.828732014,16.757033185,4.341770720,-36.724403930,0.051444189,-0.002802401,0.998671939,103
010,1782805491.878753901,16.864312280,4.396547487,-34.644129218,0.084606157,-0.006925521,0.996390403,104
011,1782805491.928730965,17.058535183,5.098664363,-37.027581316,0.051444189,-0.002802401,0.998671939,103
012,1782805491.978939056,17.355699766,4.570927449,-36.578968306,0.051444189,-0.002802401,0.998671939,103
013,1782805492.029151917,16.939500104,4.217905628,-36.441095521,0.051444189,-0.002802401,0.998671939,103
014,1782805492.078922987,16.632030246,4.179110819,-35.882534608,0.068419055,0.091487316,0.993453020,112
015,1782805492.128802061,16.925094128,4.183962029,-36.209958266,0.068419055,0.091487316,0.993453020,112
016,1782805492.178993940,16.745882887,3.594842785,-36.141165242,0.068419055,0.091487316,0.993453020,112
017,1782805492.228971958,16.804587961,3.908155814,-36.257640256,0.068419055,0.091487316,0.993453020,112
018,1782805492.278949022,17.545364714,3.536062840,-35.115695296,0.084606157,-0.006925521,0.996390403,104
019,1782805492.329235077,17.609437651,3.572256548,-36.266189640,0.051444189,-0.002802401,0.998671939,103
020,1782805492.378818989,17.677640210,3.873010791,-36.244552668,0.051444189,-0.002802401,0.998671939,103
021,1782805492.429006100,17.719343545,3.729849691,-35.817790988,0.051444189,-0.002802401,0.998671939,103
022,1782805492.478832006,17.532758795,3.938868920,-34.803351764,0.084606157,-0.006925521,0.996390403,104
023,1782805492.528652906,17.924838328,3.567700260,-35.033317517,0.084606157,-0.006925521,0.996390403,104
024,1782805492.578824997,17.661870479,3.722705669,-34.375379028,0.084606157,-0.006925521,0.996390403,104
025,1782805492.629302025,18.375379627,3.561163472,-34.696807176,0.084606157,-0.006925521,0.996390403,104
026,1782805492.679276943,17.950162271,4.495774540,-33.857499381,0.084606157,-0.006925521,0.996390403,104
027,1782805492.729013920,17.912919201,4.998010285,-34.820081578,0.084606157,-0.006925521,0.996390403,104
028,1782805492.779052973,16.699255577,5.287178371,-33.299284224,0.079171974,-0.000627402,0.996860775,100
029,1782805492.829287052,17.206369860,4.088173716,-29.580880290,0.084275428,-0.029326593,0.996010845,97
030,1782805492.878879070,16.443228433,4.782322015,-32.184839827,0.061828636,0.037330272,0.997388425,107
031,1782805492.928679943,16.713349782,4.906527522,-33.754666179,0.079171974,-0.000627402,0.996860775,100
032,1782805492.978507996,17.396742718,4.655908503,-36.602128452,0.051444189,-0.002802401,0.998671939,103
033,1782805493.028693914,17.192000019,4.325584228,-38.533724137,0.074444170,-0.008358079,0.997190156,101
034,1782805493.078511000,16.746761130,4.302812453,-40.453554951,0.100159655,0.020745456,0.994755080,109
035,1782805493.128504038,17.426982102,3.103297240,-40.423870406,0.074444170,-0.008358079,0.997190156,101
036,1782805493.178906918,17.126496955,3.438966595,-41.352737460,0.100159655,0.020745456,0.994755080,109
037,1782805493.229346991,17.951230537,3.680535003,-43.652947808,0.124931449,0.016281786,0.992031772,106
038,1782805493.278928041,17.384041626,3.502505374,-42.570668749,0.124931449,0.016281786,0.992031772,106
039,1782805493.329336882,16.688994993,3.188146617,-38.595136037,0.074444170,-0.008358079,0.997190156,101
040,1782805493.379740953,15.724526465,3.010058103,-37.420005208,0.070647924,0.093248678,0.993133201,111
041,1782805493.429372072,16.775353537,2.894536751,-39.813676392,0.099156045,0.082789920,0.991621857,116
042,1782805493.479562998,17.344174310,2.714174637,-38.851592390,0.074444170,-0.008358079,0.997190156,101
043,1782805493.529381037,16.898629322,2.652492276,-39.561780126,0.074444170,-0.008358079,0.997190156,101
044,1782805493.579437017,17.173923015,2.452384108,-38.927793243,0.074444170,-0.008358079,0.997190156,101
045,1782805493.629172087,16.866262876,2.682606044,-39.357549199,0.074444170,-0.008358079,0.997190156,101
046,1782805493.678991079,17.243049845,2.660593310,-39.991444376,0.074444170,-0.008358079,0.997190156,101
047,1782805493.728993893,16.801428222,2.810154227,-37.723617276,0.051444189,-0.002802401,0.998671939,103
048,1782805493.778775930,16.764616888,2.307988749,-38.065064825,0.051444189,-0.002802401,0.998671939,103
049,1782805493.828243017,17.363657806,2.419317359,-39.190983132,0.074444170,-0.008358079,0.997190156,101
050,1782805493.878427029,16.651054423,2.164494687,-38.240663066,0.070647924,0.093248678,0.993133201,111
051,1782805493.928220034,15.753832075,2.382924524,-38.387744100,0.070647924,0.093248678,0.993133201,111
052,1782805493.978436947,16.094185492,2.219195884,-37.743798913,0.070647924,0.093248678,0.993133201,111
053,1782805494.027849913,16.424034993,2.657276419,-38.301328754,0.070647924,0.093248678,0.993133201,111
054,1782805494.077887058,16.123221964,3.171308441,-35.867013872,0.068419055,0.091487316,0.993453020,112
055,1782805494.128108025,14.825778680,2.603969258,-34.065819017,0.038258782,0.109013316,0.993303761,111
056,1782805494.177870035,15.310170669,2.967788128,-32.827720700,0.061828636,0.037330272,0.997388425,107
057,1782805494.227910042,14.073370840,3.755739297,-32.760520306,0.019277551,0.096545443,0.995141876,114
058,1782805494.277935028,13.982962559,4.957818443,-30.542201616,0.076428604,0.048914304,0.995874520,106
059,1782805494.328311920,13.357076417,5.135105762,-29.097570074,0.076428604,0.048914304,0.995874520,106
060,1782805494.378166914,13.342769895,6.303085308,-29.197997859,0.076428604,0.048914304,0.995874520,106
061,1782805494.428339005,11.928823038,4.858221126,-28.377008860,0.107468945,0.038420756,0.993465788,33
062,1782805494.478717089,12.825281385,5.322814293,-29.039069802,0.076428604,0.048914304,0.995874520,106
063,1782805494.529114008,12.660249073,4.626236265,-28.787989091,0.050932389,0.087149560,0.994892379,113
064,1782805494.579520941,12.076243648,4.226066740,-27.595821840,0.088564288,0.063113785,0.994068920,101
065,1782805494.629329920,11.931988329,3.403524198,-26.847818900,0.088564288,0.063113785,0.994068920,101
066,1782805494.679141045,12.820624327,4.680647862,-27.250087706,0.088564288,0.063113785,0.994068920,101
067,1782805494.729374886,11.923154911,3.933657910,-26.784989139,0.102504079,0.038199425,0.993998852,39
068,1782805494.778774023,12.530558089,4.252598268,-26.648459295,0.088564288,0.063113785,0.994068920,101
069,1782805494.828973055,13.176817638,4.910618142,-27.344894146,0.100317231,0.049516196,0.993722597,40
070,1782805494.878943920,13.742254470,4.788960539,-26.690220889,0.100317231,0.049516196,0.993722597,40
071,1782805494.929013014,13.164117516,5.126402525,-25.818747743,0.102971765,0.032005087,0.994169246,103
072,1782805494.979254007,12.113929385,4.995978974,-26.003053874,0.097074235,0.045953028,0.994215727,100
073,1782805495.028837919,12.152894942,5.431452818,-25.948907903,0.097074235,0.045953028,0.994215727,100
074,1782805495.078810930,12.218221011,4.830877643,-25.189524798,0.102971765,0.032005087,0.994169246,103
