timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618500.022762060,-0.248713,-0.068816,-0.966129,-0.049525,-0.017187,-0.124787,-172.896375,-25.779527,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,31,78,0.397436,0,2.0000
1774618500.072674990,0.022124,0.024935,-0.999444,-0.049657,-0.016981,-0.125446,-172.890806,-25.791312,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,93,156,0.596154,0,2.0000
1774618500.122735977,0.012620,0.015029,-0.999807,-0.049326,-0.017749,-0.125081,-172.892525,-25.781912,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,113,182,0.620879,0,2.0000
1774618500.172748089,0.025634,0.025312,-0.999351,-0.049587,-0.016457,-0.124501,-172.900663,-25.778216,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,130,199,0.653266,0,2.0000
1774618500.222722054,0.019165,0.027428,-0.999440,-0.049672,-0.017532,-0.125118,-172.890848,-25.781630,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,143,215,0.665116,0,2.0000
1774618500.272717953,0.012615,0.018832,-0.999743,-0.049336,-0.017435,-0.124872,-172.896472,-25.778899,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,161,235,0.685106,0,2.0000
1774618500.322702885,0.024843,0.023192,-0.999422,-0.049309,-0.018746,-0.124987,-172.892855,-25.787980,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,169,243,0.695473,0,2.0000
1774618500.372766018,0.011634,0.022204,-0.999686,-0.049378,-0.017494,-0.125061,-172.888580,-25.781847,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,174,248,0.701613,0,2.0000
1774618500.422720909,0.009819,0.023800,-0.999669,-0.049645,-0.017329,-0.125083,-172.891084,-25.778322,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,180,258,0.697674,0,2.0000
1774618500.472775936,0.036777,0.035539,-0.998691,-0.049565,-0.016932,-0.125040,-172.890894,-25.782845,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,189,265,0.713208,0,2.0000
1774618500.522762060,0.029506,0.027919,-0.999175,-0.049435,-0.016909,-0.125501,-172.893792,-25.788084,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,195,272,0.716912,0,2.0000
1774618500.572731018,0.039136,0.031850,-0.998726,-0.049674,-0.016715,-0.125159,-172.892323,-25.778961,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,206,282,0.730496,0,2.0000
1774618500.622785091,0.035491,0.029173,-0.998944,-0.049402,-0.016998,-0.124732,-172.892429,-25.773018,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,210,289,0.726644,0,2.0000
1774618500.672749996,0.038794,0.033488,-0.998686,-0.049535,-0.017754,-0.125368,-172.888774,-25.785650,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,213,292,0.729452,0,2.0000
1774618500.722369909,0.035459,0.029538,-0.998935,-0.049223,-0.018070,-0.125495,-172.890960,-25.786400,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,218,300,0.726667,0,2.0000
1774618500.772804022,0.028622,0.024586,-0.999288,-0.049196,-0.017728,-0.125256,-172.890683,-25.780229,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,223,305,0.731148,0,2.0000
1774618500.822417974,0.034236,0.027958,-0.999023,-0.049203,-0.017044,-0.125043,-172.892733,-25.779128,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,224,306,0.732026,0,2.0000
1774618500.872837067,0.037099,0.027994,-0.998919,-0.049417,-0.017711,-0.125315,-172.890121,-25.791065,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,228,312,0.730769,0,2.0000
