timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618630.668503046,0.024834,0.014593,-0.999585,0.000124,0.008994,-0.135149,176.594751,-3.919556,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,88,175,0.502857,0,2.0000
1774618630.718502998,0.024061,0.005773,-0.999694,0.001795,0.009250,-0.135442,176.631903,-3.905538,0.0457,1.0000,0.4274,0.0457,1.0000,0.4274,175,334,0.523952,0,2.0000
1774618630.768076897,0.025662,0.012307,-0.999595,0.000644,0.008985,-0.135456,176.604726,-3.913597,0.0459,1.0000,0.4276,0.0459,1.0000,0.4276,202,376,0.537234,0,2.0000
1774618630.818097115,0.015508,0.015328,-0.999762,-0.001953,0.007099,-0.135817,176.663887,-3.907191,0.0455,1.0000,0.4273,0.0455,1.0000,0.4273,208,400,0.520000,0,2.0000
1774618630.868110895,0.020941,0.017649,-0.999625,-0.000616,0.008469,-0.136100,176.599915,-3.939189,0.0461,1.0000,0.4277,0.0461,1.0000,0.4277,231,427,0.540984,0,2.0000
1774618630.918114901,0.024630,0.006868,-0.999673,-0.000737,0.008791,-0.135296,176.608551,-3.910667,0.0459,1.0000,0.4275,0.0459,1.0000,0.4275,252,459,0.549020,0,2.0000
1774618630.968518019,0.025507,0.012256,-0.999599,0.000779,0.009830,-0.135585,176.608889,-3.926541,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,268,476,0.563025,0,2.0000
1774618631.018127918,0.017594,0.019694,-0.999651,0.000596,0.008474,-0.135562,176.635084,-3.902393,0.0457,1.0000,0.4274,0.0457,1.0000,0.4274,272,488,0.557377,0,2.0000
1774618631.068114042,0.025355,0.007377,-0.999651,-0.003982,0.006769,-0.135713,176.648370,-3.900904,0.0456,1.0000,0.4273,0.0456,1.0000,0.4273,295,506,0.583004,0,2.0000
1774618631.118120909,0.018594,0.017629,-0.999672,0.000536,0.008849,-0.135555,176.636862,-3.899322,0.0456,1.0000,0.4274,0.0456,1.0000,0.4274,300,519,0.578035,0,2.0000
