timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618500.022762060,-0.190068,-0.028199,-0.981366,-0.049525,-0.017187,-0.124787,-172.896375,-25.779527,0.2583,0.0000,0.1550,0.2583,0.0000,0.1550,9,78,0.115385,0,2.0000
1774618500.072674990,-0.253661,-0.055536,-0.965698,-0.049660,-0.016982,-0.125458,-172.890701,-25.791835,0.2585,0.9766,0.5458,0.2585,0.9766,0.5458,46,157,0.292994,0,2.0000
1774618500.122735977,-0.250602,-0.145720,-0.957060,-0.049348,-0.017736,-0.125039,-172.892786,-25.781384,0.2584,0.8242,0.4847,0.2584,0.8242,0.4847,45,182,0.247253,0,2.0000
1774618500.172748089,-0.146462,-0.065265,-0.987061,-0.049665,-0.016035,-0.124390,-172.901469,-25.774136,0.2581,0.9121,0.5197,0.2581,0.9121,0.5197,55,201,0.273632,0,2.0000
1774618500.222722054,0.034243,0.029866,-0.998967,-0.049689,-0.017379,-0.125047,-172.891412,-25.781080,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,148,218,0.678899,0,2.0000
1774618500.272717953,-0.171919,-0.081336,-0.981748,-0.049317,-0.017401,-0.124864,-172.896149,-25.780026,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,72,237,0.303797,0,2.0000
1774618500.322702885,0.033900,0.030086,-0.998972,-0.049334,-0.018762,-0.124992,-172.892798,-25.788032,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,173,245,0.706122,0,2.0000
1774618500.372766018,-0.145702,-0.090589,-0.985172,-0.049283,-0.017348,-0.124559,-172.894919,-25.777007,0.2583,0.8800,0.5070,0.2583,0.8800,0.5070,66,250,0.264000,0,2.0000
1774618500.422720909,-0.261803,-0.137391,-0.955292,-0.049634,-0.017312,-0.125011,-172.891706,-25.777581,0.2584,0.7535,0.4564,0.2584,0.7535,0.4564,59,261,0.226054,0,2.0000
1774618500.472775936,-0.213133,-0.011553,-0.976955,-0.049200,-0.017567,-0.125082,-172.890646,-25.784141,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,89,269,0.330855,0,2.0000
1774618500.522762060,-0.173115,-0.129568,-0.976342,-0.049241,-0.017245,-0.125449,-172.894216,-25.787345,0.2584,0.8664,0.5016,0.2584,0.8664,0.5016,72,277,0.259928,0,2.0000
1774618500.572731018,-0.205281,-0.082363,-0.975231,-0.049610,-0.016757,-0.125204,-172.893016,-25.776549,0.2584,0.7953,0.4731,0.2584,0.7953,0.4731,68,285,0.238596,0,2.0000
1774618500.622785091,0.033106,0.028982,-0.999032,-0.049439,-0.016927,-0.124665,-172.892649,-25.772817,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,212,292,0.726027,0,2.0000
1774618500.672749996,-0.191005,-0.126989,-0.973340,-0.049502,-0.017799,-0.125392,-172.888776,-25.785545,0.2585,0.9040,0.5167,0.2585,0.9040,0.5167,80,295,0.271186,0,2.0000
1774618500.722369909,-0.238054,-0.150706,-0.959488,-0.049186,-0.018143,-0.125628,-172.890573,-25.787349,0.2585,0.7174,0.4421,0.2585,0.7174,0.4421,65,302,0.215232,0,2.0000
1774618500.772804022,0.034310,0.029954,-0.998962,-0.049150,-0.017717,-0.125144,-172.892002,-25.779058,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,225,306,0.735294,0,2.0000
1774618500.822417974,0.031885,0.029444,-0.999058,-0.049197,-0.016964,-0.124971,-172.893567,-25.778566,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,218,307,0.710098,0,2.0000
1774618500.872837067,0.034336,0.029932,-0.998962,-0.049474,-0.017774,-0.125229,-172.890772,-25.789854,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,230,313,0.734824,0,2.0000
1774618500.922838926,0.034109,0.029896,-0.998971,-0.049281,-0.017820,-0.124976,-172.890032,-25.784516,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,234,319,0.733542,0,2.0000
1774618500.972383976,0.032845,0.028923,-0.999042,-0.049264,-0.017887,-0.125261,-172.889458,-25.784729,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,233,322,0.723602,0,2.0000
1774618501.022811890,-0.218013,-0.113636,-0.969308,-0.049672,-0.017372,-0.124814,-172.895938,-25.781156,0.2583,0.7121,0.4398,0.2583,0.7121,0.4398,69,323,0.213622,0,2.0000
1774618501.072407007,0.035108,0.030698,-0.998912,-0.048906,-0.017587,-0.124170,-172.896081,-25.754455,0.2581,1.0000,0.5549,0.2581,1.0000,0.5549,228,327,0.697248,0,2.0000
1774618501.122886896,-0.124651,-0.021363,-0.991971,-0.049557,-0.017820,-0.125019,-172.892001,-25.791812,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,100,332,0.301205,0,2.0000
1774618501.172831059,0.036893,0.032386,-0.998794,-0.049375,-0.017332,-0.124669,-172.894686,-25.786872,0.2584,1.0000,0.5550,0.2584,1.0000,0.5550,217,334,0.649701,0,2.0000
1774618501.222467899,0.034320,0.029914,-0.998963,-0.049509,-0.017882,-0.125549,-172.887750,-25.782758,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,243,334,0.727545,0,2.0000
1774618501.272449017,0.034052,0.029679,-0.998979,-0.049386,-0.017206,-0.124955,-172.892245,-25.769701,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,250,338,0.739645,0,2.0000
1774618501.322427034,0.033015,0.028802,-0.999040,-0.049635,-0.017037,-0.124647,-172.896874,-25.775277,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,250,341,0.733138,0,2.0000
1774618501.372450113,0.033096,0.028864,-0.999035,-0.049577,-0.017038,-0.124939,-172.892254,-25.785814,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,252,343,0.734694,0,2.0000
1774618501.422465086,-0.174633,-0.118938,-0.977424,-0.049128,-0.017044,-0.125116,-172.892151,-25.780861,0.2584,0.7826,0.4681,0.2584,0.7826,0.4681,81,345,0.234783,0,2.0000
1774618501.472462893,0.032854,0.028815,-0.999045,-0.049399,-0.017183,-0.125198,-172.890993,-25.792773,0.2585,1.0000,0.5551,0.2585,1.0000,0.5551,258,350,0.737143,0,2.0000
1774618501.522447109,0.033198,0.028849,-0.999032,-0.049697,-0.016935,-0.125094,-172.892862,-25.787211,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,259,351,0.737892,0,2.0000
1774618501.572489023,0.034008,0.029636,-0.998982,-0.049225,-0.017363,-0.125050,-172.892031,-25.783295,0.2584,1.0000,0.5551,0.2584,1.0000,0.5551,263,354,0.742938,0,2.0000
1774618501.622524023,0.034237,0.029650,-0.998974,-0.049797,-0.017227,-0.124481,-172.896338,-25.782968,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,267,359,0.743733,0,2.0000
1774618501.672521114,0.032313,0.028669,-0.999067,-0.049536,-0.017337,-0.124295,-172.897382,-25.778640,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,265,362,0.732044,0,2.0000
1774618501.722539902,0.077141,0.047517,-0.995887,-0.049860,-0.016323,-0.124748,-172.899332,-25.780339,0.2582,1.0000,0.5549,0.2582,1.0000,0.5549,184,365,0.504110,0,2.0000
1774618501.772536993,0.033025,0.028837,-0.999038,-0.050045,-0.016275,-0.125002,-172.894232,-25.780369,0.2583,1.0000,0.5550,0.2583,1.0000,0.5550,273,368,0.741848,0,2.0000
1774618501.822535038,-0.146776,0.011309,-0.989105,-0.049948,-0.016539,-0.124829,-172.894818,-25.775567,0.2583,0.7859,0.4693,0.2583,0.7859,0.4693,87,369,0.235772,0,2.0000
