timestamp,nx,ny,nz,qx,qy,qz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,search_radius
1774618630.668503046,0.027517,0.013950,-0.999524,0.000124,0.008994,-0.135149,176.594751,-3.919556,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,88,175,0.502857,0,2.0000
1774618630.718502998,0.027354,0.016406,-0.999491,0.001480,0.009810,-0.135490,176.576209,-3.935761,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,176,334,0.526946,0,2.0000
1774618630.768076897,0.026271,0.016720,-0.999515,0.000523,0.009417,-0.135322,176.573305,-3.930597,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,204,376,0.542553,0,2.0000
1774618630.818097115,0.125285,-0.012308,-0.992044,-0.002183,0.007409,-0.135914,176.646955,-3.914979,0.0457,0.9559,0.4098,0.0457,0.9559,0.4098,115,401,0.286783,0,2.0000
1774618630.868110895,0.023439,0.018001,-0.999563,-0.000724,0.008764,-0.135969,176.562381,-3.957670,0.0465,1.0000,0.4279,0.0465,1.0000,0.4279,233,429,0.543124,0,2.0000
1774618630.918114901,0.040372,0.004898,-0.999173,-0.001258,0.008948,-0.135295,176.575089,-3.928770,0.0462,1.0000,0.4277,0.0462,1.0000,0.4277,238,461,0.516269,0,2.0000
1774618630.968518019,0.024160,0.016931,-0.999565,0.000957,0.010266,-0.135589,176.582547,-3.940802,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,262,475,0.551579,0,2.0000
1774618631.018127918,0.081532,0.001995,-0.996669,0.000193,0.008605,-0.135485,176.603797,-3.918384,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,175,486,0.360082,0,2.0000
1774618631.068114042,0.053557,-0.018196,-0.998399,-0.004207,0.007150,-0.135727,176.612845,-3.917917,0.0459,1.0000,0.4275,0.0459,1.0000,0.4275,214,502,0.426295,0,2.0000
1774618631.118120909,0.024748,0.017049,-0.999548,-0.000017,0.009004,-0.135544,176.602594,-3.921639,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,301,515,0.584466,0,2.0000
1774618631.168148041,0.029273,0.007189,-0.999546,-0.000749,0.008920,-0.135484,176.566878,-3.942313,0.0464,1.0000,0.4278,0.0464,1.0000,0.4278,285,525,0.542857,0,2.0000
1774618631.218157053,0.024826,0.015408,-0.999573,-0.001595,0.008340,-0.135424,176.576022,-3.932252,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,306,534,0.573034,0,2.0000
1774618631.268138885,0.023980,0.017054,-0.999567,-0.001109,0.007920,-0.135710,176.609628,-3.923201,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,313,538,0.581784,0,2.0000
1774618631.318140030,0.021800,0.021353,-0.999534,-0.001127,0.009205,-0.135204,176.549970,-3.943780,0.0465,1.0000,0.4279,0.0465,1.0000,0.4279,320,553,0.578662,0,2.0000
1774618631.368175983,0.025731,0.015122,-0.999555,-0.002121,0.008995,-0.135446,176.576152,-3.936244,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,335,559,0.599284,0,2.0000
1774618631.418163061,0.024731,0.016184,-0.999563,-0.000115,0.009416,-0.134799,176.546707,-3.948734,0.0466,1.0000,0.4279,0.0466,1.0000,0.4279,333,566,0.588339,0,2.0000
1774618631.468173981,0.024399,0.016653,-0.999564,-0.001374,0.007783,-0.135418,176.620210,-3.916386,0.0459,1.0000,0.4275,0.0459,1.0000,0.4275,339,572,0.592657,0,2.0000
1774618631.518187046,0.023960,0.017358,-0.999562,-0.002093,0.008084,-0.135534,176.565741,-3.945632,0.0464,1.0000,0.4279,0.0464,1.0000,0.4279,342,574,0.595819,0,2.0000
1774618631.568191051,0.024948,0.015388,-0.999570,-0.001890,0.008022,-0.135086,176.570429,-3.937556,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,344,583,0.590051,0,2.0000
1774618631.618204117,0.024600,0.016430,-0.999562,-0.001575,0.008481,-0.135348,176.562406,-3.943136,0.0464,1.0000,0.4279,0.0464,1.0000,0.4279,349,586,0.595563,0,2.0000
1774618631.668225050,0.024089,0.015956,-0.999582,-0.001893,0.008527,-0.135197,176.535423,-3.952401,0.0467,1.0000,0.4280,0.0467,1.0000,0.4280,343,590,0.581356,0,2.0000
1774618631.718211889,0.163584,-0.099559,-0.981493,-0.000573,0.009200,-0.134862,176.546136,-3.943652,0.0465,0.5602,0.2520,0.0465,0.5602,0.2520,100,595,0.168067,0,2.0000
1774618631.768210888,0.024277,0.016648,-0.999567,-0.002224,0.008365,-0.135210,176.544423,-3.951753,0.0466,1.0000,0.4280,0.0466,1.0000,0.4280,354,597,0.592965,0,2.0000
1774618631.818240881,0.024647,0.016225,-0.999565,-0.002348,0.008930,-0.134909,176.569435,-3.939010,0.0464,1.0000,0.4278,0.0464,1.0000,0.4278,359,602,0.596346,0,2.0000
1774618631.868216038,0.013797,0.048135,-0.998746,-0.001210,0.008900,-0.135577,176.608108,-3.925941,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,264,603,0.437811,0,2.0000
1774618631.918229103,0.025860,0.015768,-0.999541,-0.000766,0.008365,-0.135454,176.604367,-3.916087,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,373,605,0.616529,0,2.0000
1774618631.968241930,0.025916,0.015924,-0.999537,-0.001585,0.007947,-0.135530,176.622485,-3.913099,0.0458,1.0000,0.4275,0.0458,1.0000,0.4275,377,607,0.621087,0,2.0000
1774618632.018249989,0.023516,0.017604,-0.999568,-0.001979,0.008329,-0.135553,176.600775,-3.925875,0.0460,1.0000,0.4276,0.0460,1.0000,0.4276,367,610,0.601639,0,2.0000
1774618632.068238974,0.025624,0.015741,-0.999548,0.000026,0.009209,-0.135492,176.579692,-3.927963,0.0462,1.0000,0.4277,0.0462,1.0000,0.4277,377,617,0.611021,0,2.0000
1774618632.118268967,0.053483,-0.002143,-0.998566,-0.002503,0.009166,-0.134865,176.564169,-3.924431,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,304,623,0.487961,0,2.0000
1774618632.168262005,0.032673,0.010029,-0.999416,-0.001450,0.009250,-0.135260,176.562225,-3.938758,0.0464,1.0000,0.4278,0.0464,1.0000,0.4278,382,626,0.610224,0,2.0000
1774618632.218257904,0.052582,0.004201,-0.998608,-0.002966,0.008345,-0.135525,176.590311,-3.927208,0.0461,1.0000,0.4277,0.0461,1.0000,0.4277,293,627,0.467305,0,2.0000
1774618632.268260956,0.026306,0.014715,-0.999546,-0.002569,0.008360,-0.135487,176.587392,-3.929013,0.0462,1.0000,0.4277,0.0462,1.0000,0.4277,387,631,0.613312,0,2.0000
1774618632.318263054,0.022305,0.020265,-0.999546,-0.001197,0.009351,-0.135047,176.565885,-3.930810,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,388,642,0.604361,0,2.0000
1774618632.368282080,0.024946,0.016237,-0.999557,-0.001298,0.008463,-0.135847,176.626115,-3.914528,0.0458,1.0000,0.4275,0.0458,1.0000,0.4275,393,645,0.609302,0,2.0000
1774618632.418308973,0.025137,0.015537,-0.999563,-0.001281,0.008834,-0.135354,176.569005,-3.940074,0.0464,1.0000,0.4278,0.0464,1.0000,0.4278,390,648,0.601852,0,2.0000
1774618632.468291044,0.026639,0.013750,-0.999551,0.000984,0.009785,-0.135211,176.575285,-3.930599,0.0463,1.0000,0.4278,0.0463,1.0000,0.4278,393,652,0.602761,0,2.0000
1774618632.518316984,0.023045,0.019335,-0.999547,-0.000595,0.008445,-0.135533,176.595562,-3.924803,0.0461,1.0000,0.4276,0.0461,1.0000,0.4276,397,651,0.609831,0,2.0000
1774618632.568310976,0.026069,0.014869,-0.999550,-0.002570,0.007760,-0.135515,176.610677,-3.917223,0.0459,1.0000,0.4276,0.0459,1.0000,0.4276,398,651,0.611367,0,2.0000
1774618632.618313074,0.025853,0.014044,-0.999567,-0.001691,0.008857,-0.135395,176.560858,-3.939920,0.0464,1.0000,0.4278,0.0464,1.0000,0.4278,395,659,0.599393,0,2.0000
1774618632.668299913,0.028078,0.013311,-0.999517,-0.000465,0.008767,-0.134713,176.619293,-3.905450,0.0458,1.0000,0.4275,0.0458,1.0000,0.4275,421,663,0.634992,0,2.0000
1774618632.718311071,0.026805,0.015074,-0.999527,-0.000747,0.008006,-0.135563,176.636128,-3.903784,0.0457,1.0000,0.4274,0.0457,1.0000,0.4274,417,662,0.629909,0,2.0000
1774618632.768316984,0.039167,-0.003640,-0.999226,0.000223,0.009215,-0.135357,176.579944,-3.926678,0.0462,1.0000,0.4277,0.0462,1.0000,0.4277,366,663,0.552036,0,2.0000
1774618632.818340063,0.024035,0.017881,-0.999551,-0.003497,0.008102,-0.135359,176.563247,-3.941837,0.0464,1.0000,0.4278,0.0464,1.0000,0.4278,404,662,0.610272,0,2.0000
1774618632.868324041,0.168833,0.002558,-0.985641,-0.001632,0.008869,-0.135425,176.570607,-3.938308,0.0463,0.9860,0.4222,0.0463,0.9860,0.4222,197,666,0.295796,0,2.0000
