index,time_s,weight
0,-0,0.0489066
1,-0.05,0.0488102
2,-0.1,0.048522
3,-0.15,0.0480455
4,-0.2,0.0473862
5,-0.25,0.0465518
6,-0.3,0.0455519
7,-0.35,0.0443979
8,-0.4,0.0431026
9,-0.45,0.0416802
10,-0.5,0.0401459
11,-0.55,0.0385158
12,-0.6,0.0368063
13,-0.65,0.0350341
14,-0.7,0.0332158
15,-0.75,0.0313678
16,-0.8,0.0295059
17,-0.85,0.0276451
18,-0.9,0.0257997
19,-0.95,0.0239826
20,-1,0.0222056
21,-1.05,0.0204793
22,-1.1,0.0188128
23,-1.15,0.0172138
24,-1.2,0.0156886
25,-1.25,0.0142422
26,-1.3,0.0128783
27,-1.35,0.0115991
28,-1.4,0.0104058
29,-1.45,0.00929843
30,-1.5,0.0082762
31,-1.55,0.00733733
32,-1.6,0.00647934
33,-1.65,0.00569913
34,-1.7,0.00499312
35,-1.75,0.00435733
36,-1.8,0.00378752
37,-1.85,0.00327925
38,-1.9,0.002828
39,-1.95,0.00242924
40,-2,0.00207849
41,-2.05,0.00177137
42,-2.1,0.00150368
43,-2.15,0.00127142
44,-2.2,0.0010708
45,-2.25,0.000898277
46,-2.3,0.000750584
47,-2.35,0.000624703
48,-2.4,0.000517886
49,-2.45,0.000427641
50,-2.5,0.000351731
51,-2.55,0.000288156
52,-2.6,0.000235141
53,-2.65,0.000191124
54,-2.7,0.000154735
55,-2.75,0.000124781
56,-2.8,0.000100229
57,-2.85,8.019e-05
58,-2.9,6.3905e-05
59,-2.95,5.07265e-05
60,-3,4.01071e-05
61,-3.05,3.15858e-05
62,-3.1,2.4777e-05
63,-3.15,1.93594e-05
64,-3.2,1.50667e-05
65,-3.25,1.16797e-05
66,-3.3,9.01842e-06
67,-3.35,6.93608e-06
68,-3.4,5.31354e-06
69,-3.45,4.05451e-06
70,-3.5,3.08162e-06
71,-3.55,2.33295e-06
72,-3.6,1.7592e-06
73,-3.65,1.32134e-06
74,-3.7,9.88543e-07
75,-3.75,7.36654e-07
76,-3.8,5.46785e-07
77,-3.85,4.04255e-07
78,-3.9,2.97701e-07
79,-3.95,2.18368e-07
80,-4,1.59546e-07
81,-4.05,1.16109e-07
82,-4.1,8.41651e-08
83,-4.15,6.07692e-08
84,-4.2,4.37038e-08
85,-4.25,3.13071e-08
86,-4.3,2.23383e-08
87,-4.35,1.58761e-08
88,-4.4,1.12389e-08
89,-4.45,7.92479e-09
90,-4.5,5.56593e-09
91,-4.55,3.89379e-09
92,-4.6,2.71328e-09
93,-4.65,1.88322e-09
94,-4.7,1.30194e-09
