Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2833,0,0,0,0,414,109,3356,979,4335,-0.0531922,0.0575306,-0.996926,0
2523,0,0,0,0,404,103,3030,886,3916,0.0121387,0.0190871,-0.999744,0
2655,0,0,0,0,444,105,3204,883,4087,0.00912808,0.0160419,-0.99983,0
2581,0,0,0,0,407,99,3087,821,3908,0.00899593,0.0228034,-0.999699,0
2533,0,0,0,0,456,101,3090,780,3870,0.00553485,0.019214,-0.9998,0
2647,0,0,0,0,409,99,3155,748,3903,0.00390713,0.0234543,-0.999717,0
2562,0,0,0,0,522,118,3202,819,4021,0.00234038,0.0171394,-0.99985,0
2637,0,0,0,0,404,102,3143,832,3975,-0.00486668,0.0316284,-0.999488,0
2760,0,0,0,0,581,120,3461,812,4273,0.00922764,0.0115575,-0.999891,0
2766,0,0,0,0,412,98,3276,762,4038,0.0132024,0.0332021,-0.999361,0
2650,0,0,0,0,408,103,3161,742,3903,0.0065529,0.0189823,-0.999798,0
2558,0,0,0,0,517,104,3179,824,4003,0.00216633,0.0443152,-0.999015,0
2521,0,0,0,0,447,101,3069,732,3801,0.0098224,0.0319629,-0.999441,0
2662,0,0,0,0,406,102,3170,842,4012,0.0113433,0.0198048,-0.99974,0
2623,0,0,0,0,518,108,3249,822,4071,-0.00131274,0.0200973,-0.999797,0
2535,0,0,0,0,400,101,3036,752,3788,0.00964527,0.0197993,-0.999757,0
2619,0,0,0,0,405,106,3130,855,3985,0.00640917,0.0269825,-0.999615,0
2610,0,0,0,0,400,98,3108,796,3904,0.0133125,0.0355992,-0.999277,0
2702,0,0,0,0,424,107,3233,815,4048,0.00964751,0.0208548,-0.999736,0
2567,0,0,0,0,404,99,3070,831,3901,0.00710478,0.0257572,-0.999643,0
2602,0,0,0,0,519,107,3228,873,4101,0.00516769,0.023536,-0.99971,0
2560,0,0,0,0,409,103,3072,774,3846,0.0116352,0.0142168,-0.999831,0
2618,0,0,0,0,444,101,3163,812,3975,0.0077312,0.0344386,-0.999377,0
2639,0,0,0,0,445,104,3188,713,3901,0.0105578,0.0168236,-0.999803,0
2671,0,0,0,0,429,118,3218,791,4009,0.00559251,0.0184564,-0.999814,0
