Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
7808,0,0,0,0,8845,201,16854,5126,21980,0.00717714,-0.0366053,-0.999304
1830,0,0,0,0,2620,73,4523,3294,7817,-0.0130267,-0.0201738,-0.999712
1585,0,0,0,0,2072,53,3710,3617,7327,-0.0429598,0.0136874,-0.998983
6726,0,0,0,0,8724,161,15611,5602,21213,-0.0534833,0.0413803,-0.997711
1793,0,0,0,0,2155,55,4003,3229,7232,0.0164798,0.000305169,-0.999864
1660,0,0,0,0,2124,56,3840,3502,7342,0.00405289,-0.0316331,-0.999491
6564,0,0,0,0,8878,229,15671,5400,21071,-0.00928987,-0.0423838,-0.999058
1756,0,0,0,0,2166,57,3979,3184,7163,-0.0337922,-0.0534271,-0.998
1665,0,0,0,0,2275,64,4004,3500,7504,-0.00124081,-0.0386338,-0.999253
1872,0,0,0,0,2441,79,4392,4344,8736,0.0108457,-0.0122619,-0.999866
2633,0,0,0,0,2689,102,5424,4040,9464,0.0201232,0.0252897,-0.999478
1934,0,0,0,0,2624,82,4640,4152,8792,0.0175219,-0.0209493,-0.999627
1811,0,0,0,0,2338,73,4222,4105,8327,0.0120132,-0.0435892,-0.998977
2409,0,0,0,0,3310,87,5806,5827,11633,0.0164756,-0.0814171,-0.996544
2439,0,0,0,0,3474,92,6005,4963,10968,0.0164692,-0.118829,-0.992778
6998,0,0,0,0,9138,259,16395,5224,21619,0.00199932,-0.0388338,-0.999244
1777,0,0,0,0,2310,57,4144,3476,7620,-0.0324495,-0.0124008,-0.999396
6971,0,0,0,0,8591,178,15740,4946,20686,-0.0425359,-0.00768738,-0.999065
1805,0,0,0,0,2365,78,4248,2993,7241,-0.0698468,-0.0029204,-0.997553
1954,0,0,0,0,2570,80,4604,4120,8724,-0.0684116,0.019875,-0.997459
2078,0,0,0,0,2925,81,5084,4339,9423,-0.0622412,0.00156646,-0.99806
2693,0,0,0,0,3594,130,6417,6614,13031,-0.0762054,0.00701918,-0.997067
2443,0,0,0,0,3319,98,5860,4551,10411,-0.0678155,0.00637418,-0.997678
1763,0,0,0,0,2482,83,4328,4105,8433,-0.0662868,0.0244657,-0.997501
2193,0,0,0,0,2978,90,5261,4507,9768,-0.0863395,0.00381222,-0.996258
2188,0,0,0,0,3724,102,6014,4990,11004,-0.0135405,-0.0373845,-0.999209
1728,0,0,0,0,2281,61,4070,4144,8214,0.00766333,-0.0235049,-0.999694
1810,0,0,0,0,2390,67,4267,4267,8534,-0.035541,8.00832e-05,-0.999368
1952,0,0,0,0,2695,71,4718,3865,8583,-0.0888372,-0.00282751,-0.996042
8353,0,0,0,0,5881,134,14368,4554,18922,-0.0416755,-0.0442184,-0.998152
1853,0,0,0,0,2495,95,4443,3703,8146,-0.084689,-0.0832825,-0.992921
1672,0,0,0,0,2342,86,4100,3531,7631,-0.0168269,-0.0394634,-0.999079
2797,0,0,0,0,3664,101,6562,4027,10589,-0.0242689,-0.0329073,-0.999164
1669,0,0,0,0,2274,65,4008,3809,7817,-0.0687321,-0.0323665,-0.99711
1877,0,0,0,0,2492,66,4435,4001,8436,-0.0178013,-0.0378637,-0.999124
7052,0,0,0,0,6688,126,13866,5475,19341,-0.0178455,-0.0959472,-0.995226
1721,0,0,0,0,2262,58,4041,3429,7470,0.0178146,-0.0463827,-0.998765
6642,0,0,0,0,8403,153,15198,5561,20759,-0.0232922,-0.0450637,-0.998713
1761,0,0,0,0,2264,54,4079,3493,7572,-0.0607761,-0.0147781,-0.998042
1790,0,0,0,0,2387,64,4241,3780,8021,-0.0996768,-0.00365144,-0.995013
2086,0,0,0,0,2624,70,4780,4167,8947,-0.0106238,-0.0378824,-0.999226
1951,0,0,0,0,2608,69,4628,4461,9089,-0.0678564,-0.0269072,-0.997332
1978,0,0,0,0,2591,75,4644,4268,8912,-0.0718867,0.00253538,-0.99741
1931,0,0,0,0,2588,81,4600,4083,8683,-0.0911859,-0.00393038,-0.995826
6751,0,0,0,0,6752,157,13660,4759,18419,-0.0726393,-0.0024942,-0.997355
1736,0,0,0,0,2314,60,4110,3292,7402,-0.0724511,-0.017693,-0.997215
1865,0,0,0,0,2623,75,4563,4183,8746,-0.0901132,-0.0422509,-0.995035
7419,0,0,0,0,8719,243,16381,5136,21517,-0.00047415,-0.038733,-0.999249
1758,0,0,0,0,2433,68,4259,3486,7745,-0.0193179,-0.0347289,-0.99921
7957,0,0,0,0,7007,162,15126,5075,20201,-0.042246,-0.0675908,-0.996818
1738,0,0,0,0,2231,61,4030,3588,7618,-0.0569938,-0.083093,-0.994911
1691,0,0,0,0,2332,60,4083,3717,7800,-0.0194994,-0.0547708,-0.998309
2211,0,0,0,0,2840,74,5125,4798,9923,-0.0392579,-0.0548332,-0.997723
2149,0,0,0,0,2786,77,5012,4751,9763,-0.0546848,-0.0646263,-0.99641
6941,0,0,0,0,8438,163,15542,5197,20739,-0.106659,-0.0583976,-0.992579
1616,0,0,0,0,2349,57,4022,3111,7133,-0.0086094,-0.0359299,-0.999317
7481,0,0,0,0,8141,158,15780,5596,21376,-0.0127749,-0.0258502,-0.999584
1611,0,0,0,0,2192,55,3858,3466,7324,-0.0582091,-0.0173285,-0.998154
1675,0,0,0,0,2166,63,3904,3480,7384,-0.0674641,0.00696218,-0.997697
1604,0,0,0,0,1996,58,3658,3375,7033,-0.0999356,-0.0186477,-0.994819
1887,0,0,0,0,1986,61,3934,3051,6985,-0.000850089,-0.032724,-0.999464
1555,0,0,0,0,2147,86,3788,3486,7274,0.0012246,-0.0446446,-0.999002
2200,0,0,0,0,2944,61,5205,5408,10613,0.0139648,-0.0849292,-0.996289
2070,0,0,0,0,2869,62,5001,5043,10044,0.0338671,-0.133735,-0.990438
2080,0,0,0,0,2760,88,4928,4941,9869,0.00409513,-0.0386667,-0.999244
1527,0,0,0,0,1884,47,3458,3691,7149,-0.00610055,-0.033486,-0.999421
2727,0,0,0,0,3497,83,6307,4583,10890,-0.00824483,-0.032141,-0.999449
1860,0,0,0,0,2235,88,4183,4083,8266,-0.0464384,0.00359139,-0.998915
