Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz
6337,0,2030,358,4310,95,235,13365,4348,17713,0.004672,-0.0375543,-0.999284
6051,0,2026,359,2829,45,201,11511,6214,17725,0.00243913,-0.0298206,-0.999552
2213,0,714,126,965,13,69,4100,1498,5598,0.00363042,-0.0182582,-0.999827
2559,0,846,155,1155,37,87,4839,3015,7854,-0.00683242,-0.0192489,-0.999791
3727,0,1188,180,1609,20,95,6819,3179,9998,0.00449215,-0.0359832,-0.999342
3593,0,1209,179,1568,25,141,6715,2924,9639,0.0122805,-0.0527269,-0.998533
2965,0,1012,163,1421,20,102,5683,2123,7806,0.00771535,-0.0364648,-0.999305
6690,0,2225,385,3105,47,220,12672,5623,18295,0.00736069,-0.0387511,-0.999222
3395,0,1270,200,1644,26,117,6652,2104,8756,0.0256105,-0.0615454,-0.997776
6891,0,2295,391,2108,33,149,11867,3646,15513,0.00549192,-0.037218,-0.999292
2412,0,807,140,1118,18,77,4572,1566,6138,0.00590954,-0.0341776,-0.999398
6590,0,2234,381,3110,48,223,12586,5008,17594,0.00242186,-0.0306681,-0.999527
3551,0,1218,211,1646,34,130,6790,2351,9141,0.00406262,-0.0328667,-0.999451
2602,0,817,168,1121,22,88,4818,1947,6765,0.00516875,-0.0355069,-0.999356
1499,0,527,94,710,14,53,2897,1457,4354,0.00554496,-0.0370161,-0.999299
1867,0,669,205,719,14,68,3542,1219,4761,0.00571958,-0.0312737,-0.999494
1459,0,622,108,711,13,69,2982,1572,4554,0.0112658,-0.0389659,-0.999177
1541,0,529,108,712,13,68,2971,1456,4427,0.0200407,-0.0377921,-0.999085
1539,0,525,110,757,28,54,3013,1241,4254,0.016217,-0.0409138,-0.999031
1714,0,720,158,957,14,88,3651,1044,4695,0.00765237,-0.0404351,-0.999153
1844,0,755,193,1050,17,90,3949,2077,6026,0.00340585,-0.030397,-0.999532
1535,0,573,129,797,17,83,3134,1128,4262,0.0112578,-0.0416187,-0.99907
1475,0,708,163,802,15,71,3234,1230,4464,-0.0014703,-0.0112082,-0.999936
1554,0,551,130,764,15,68,3082,922,4004,0.0098539,-0.0378804,-0.999234
1498,0,527,106,717,14,77,2939,948,3887,0.00411031,-0.0466234,-0.998904
1470,0,494,87,717,14,78,2860,1036,3896,0.00292158,-0.0378191,-0.99928
1536,0,572,112,739,13,47,3019,827,3846,0.0171205,-0.0352199,-0.999233
1559,0,503,86,714,15,77,2954,772,3726,-0.00065912,-0.0254876,-0.999675
1530,0,673,122,717,14,78,3134,942,4076,0.00648601,-0.0347607,-0.999375
1628,0,538,123,715,13,68,3085,1921,5006,0.0015448,-0.0269622,-0.999635
1465,0,546,126,815,14,81,3047,933,3980,0.0173251,-0.0554151,-0.998313
1562,0,535,134,965,12,80,3288,1639,4927,0.00708354,-0.0388458,-0.99922
1460,0,508,160,760,29,58,2975,1380,4355,0.00863385,-0.0355215,-0.999332
1673,0,589,173,785,11,50,3281,1144,4425,0.0233542,-0.0374089,-0.999027
1450,0,537,106,710,11,66,2880,1608,4488,0.00185748,-0.0290008,-0.999578
1477,0,596,126,720,11,75,3005,993,3998,0.0299374,-0.0408899,-0.998715
1591,0,553,136,768,29,80,3157,1284,4441,0.0028318,-0.0322365,-0.999476
1436,0,631,120,761,31,130,3109,1226,4335,0.004464,-0.0395379,-0.999208
1455,0,544,124,750,33,91,2997,1248,4245,-0.000916623,-0.0259284,-0.999663
1508,0,563,88,735,11,50,2955,1316,4271,0.00889751,-0.03403,-0.999381
2532,0,889,163,1237,19,90,4930,2247,7177,-0.00306848,-0.0104293,-0.999941
5447,0,1870,337,2532,38,200,10424,3433,13857,0.00833246,-0.0376804,-0.999255
4231,0,1402,242,1924,30,145,7974,2311,10285,0.00431475,-0.0302172,-0.999534
6168,0,2143,419,2745,41,196,11712,3014,14726,0.00827616,-0.0326541,-0.999432
2738,0,918,174,1222,19,88,5159,2234,7393,0.00108002,-0.0174589,-0.999847
4553,0,1670,282,2199,42,159,8905,3819,12724,0.00704009,-0.0326797,-0.999441
4638,0,1646,290,2222,34,149,8979,2857,11836,0.00427326,-0.0313159,-0.9995
4545,0,1630,292,2341,37,163,9008,4431,13439,0.0122549,-0.0439185,-0.99896
4750,0,1624,267,2257,35,158,9091,3666,12757,0.0134694,-0.0344398,-0.999316
6805,0,1769,287,2171,33,164,11229,3794,15023,0.00876358,-0.0372466,-0.999268
6834,0,2034,284,2164,34,164,11514,3211,14725,0.0119958,-0.0399304,-0.99913
2352,0,804,135,1132,23,89,4535,2300,6835,0.0232699,-0.0422264,-0.998837
2370,0,818,148,1164,82,83,4665,2708,7373,0.0146839,-0.0346659,-0.999291
4978,0,1612,422,2403,32,158,9605,4295,13900,0.0130486,-0.0401128,-0.99911
4497,0,1285,288,1880,31,144,8125,2175,10300,0.00640125,-0.0395735,-0.999196
3033,0,1025,186,1415,30,111,5800,2101,7901,0.0109541,-0.0395058,-0.999159
3274,0,1084,195,1628,30,103,6314,2480,8794,0.0190076,-0.0425911,-0.998912
3305,0,1184,245,2192,27,118,7071,2495,9566,0.005887,-0.0379272,-0.999263
3260,0,1169,256,1650,28,133,6496,3204,9700,0.00936963,-0.0385312,-0.999213
5174,0,1921,319,2374,35,163,9986,6037,16023,0.00159121,-0.0320754,-0.999484
3734,0,1357,265,2041,28,129,7554,3921,11475,0.016781,-0.0316322,-0.999359
3630,0,1428,295,1836,36,138,7363,2402,9765,0.00887187,-0.0514312,-0.998637
3802,0,1765,283,1930,28,135,7943,2713,10656,0.00444088,-0.0356737,-0.999354
3767,0,1358,283,1859,39,139,7445,2730,10175,0.00477549,-0.0328152,-0.99945
3791,0,1398,272,2005,39,131,7636,2078,9714,0.0312676,-0.0420838,-0.998625
3894,0,1342,239,1893,27,133,7528,3598,11126,0.000311965,-0.030384,-0.999538
3651,0,1236,225,1767,26,132,7037,2749,9786,-0.0010071,-0.0298466,-0.999554
5950,0,1916,352,2773,41,207,11239,5012,16251,0.0132341,-0.0358381,-0.99927
7097,0,2191,418,3015,64,217,13002,2364,15366,0.00273453,-0.0284106,-0.999593
3310,0,902,149,1175,28,83,5647,1170,6817,0.0210343,-0.0369326,-0.999096
1978,0,647,105,770,16,53,3569,831,4400,-0.000144019,-0.0303196,-0.99954
6437,0,2112,390,2894,60,219,12112,1688,13800,0.0144476,-0.0418713,-0.999019
6662,0,2159,387,2055,61,150,11474,1370,12844,-0.00103246,-0.0221103,-0.999755
2725,0,889,158,1181,24,91,5068,1072,6140,0.00694707,-0.0346327,-0.999376
5069,0,1486,264,2143,43,165,9170,1916,11086,0.0137416,-0.0409602,-0.999066
4839,0,1528,263,2013,44,159,8846,2004,10850,0.0030906,-0.0449235,-0.998986
4771,0,1511,259,1980,42,157,8720,1580,10300,0.00634176,-0.0390572,-0.999217
6339,0,1896,362,2760,73,221,11651,2081,13732,0.00775971,-0.0336972,-0.999402
3273,0,832,151,1118,23,85,5482,832,6314,0.00676486,-0.0418491,-0.999101
1739,0,508,91,669,15,48,3070,546,3616,0.00495525,-0.0340432,-0.999408
1829,0,518,88,718,18,50,3221,582,3803,0.011006,-0.0392671,-0.999168
6153,0,1741,303,2337,58,171,10763,2137,12900,0.00216964,-0.0349734,-0.999386
7198,0,1646,279,1468,34,109,10734,1252,11986,0.0148751,-0.0539351,-0.998434
2577,0,680,121,889,26,73,4366,881,5247,0.0101028,-0.0342283,-0.999363
6182,0,1683,325,2286,55,186,10717,2185,12902,0.00329293,-0.0336666,-0.999428
4177,0,1203,200,1671,36,132,7419,1450,8869,0.00143785,-0.029129,-0.999575
4318,0,1200,209,1538,34,141,7440,1505,8945,0.00564783,-0.0326669,-0.99945
4323,0,1264,243,1600,41,118,7589,1563,9152,0.0059897,-0.0403761,-0.999167
5457,0,1517,270,2018,56,151,9469,1861,11330,0.00573042,-0.0379519,-0.999263
4270,0,1199,195,1506,33,113,7316,1362,8678,-0.00788402,-0.0133383,-0.99988
3714,0,1097,178,1425,57,101,6572,1305,7877,0.0105299,-0.0260843,-0.999604
6187,0,1757,333,2364,50,197,10888,1524,12412,0.0276088,-0.0488335,-0.998425
2562,0,732,130,978,26,75,4503,995,5498,0.0133646,-0.0257355,-0.999579
6112,0,1782,345,2320,79,178,10816,2078,12894,0.0246087,-0.0407259,-0.998867
6242,0,1782,319,2194,51,126,10714,1384,12098,0.0287683,-0.0997246,-0.994599
3210,0,908,163,1218,44,91,5634,1144,6778,-0.0154305,-0.064676,-0.997787
6276,0,1730,331,2304,65,184,10890,1515,12405,-0.0215735,-0.0589047,-0.99803
4178,0,1181,210,1509,36,120,7234,1374,8608,-0.0111794,-0.0186966,-0.999763
3238,0,859,165,1149,29,92,5532,1114,6646,0.0195532,0.0270437,-0.999443
