timestamp,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable
1762174416.986397,0.0662063,-0.224071,-0.972321,24.6587,7.93614,0.270858,0.0485437,0.181932,0.270858,0.0485437,0.181932,24,1648,0.0145631,0,1
1762174417.036371,0.0520516,-0.199296,-0.978556,24.7016,7.84348,0.268967,0.0591216,0.185029,0.268967,0.0591216,0.185029,21,1184,0.0177365,0,1
1762174417.086368,0.0212285,-0.0684113,-0.997431,24.5054,7.57302,0.261201,0.0548246,0.17865,0.261201,0.0548246,0.17865,20,1216,0.0164474,0,1
1762174417.136382,0.0223602,-0.0582,-0.998055,24.7399,7.64726,0.264577,0.0741525,0.188407,0.264577,0.0741525,0.188407,21,944,0.0222458,0,1
1762174417.186430,0.0265834,-0.0556254,-0.998098,24.6929,7.84813,0.269016,0.0718391,0.190145,0.269016,0.0718391,0.190145,20,928,0.0215517,0,1
1762174417.236399,0.00839989,0.0772863,-0.996974,24.5838,7.69293,0.264579,0.0705645,0.186973,0.264579,0.0705645,0.186973,21,992,0.0211694,0,1
1762174417.286459,0.00560773,0.0654983,-0.997837,24.4424,7.84044,0.267067,0,0.16024,0.267067,0,0.16024,17,576,0.0295139,0,1
1762174417.336385,0.00306734,0.0576961,-0.998329,24.8587,7.78529,0.268681,0,0.161209,0.268681,0,0.161209,18,608,0.0296053,0,1
1762174417.386507,0.0081377,0.0664919,-0.997754,24.611,7.9237,0.270226,0,0.162135,0.270226,0,0.162135,17,544,0.03125,0,1
1762174417.436411,0.00782813,0.0668099,-0.997735,24.6014,7.62804,0.263166,0,0.157899,0.263166,0,0.157899,17,560,0.0303571,0,1
1762174417.486412,0.00547162,0.0636693,-0.997956,24.6506,7.78041,0.267116,0,0.160269,0.267116,0,0.160269,19,592,0.0320946,0,1
1762174417.536448,-0.00763589,0.0764855,-0.997042,24.6123,7.70997,0.265181,0,0.159109,0.265181,0,0.159109,16,544,0.0294118,0,1
1762174417.586428,-0.00232551,0.076977,-0.99703,24.7204,7.79659,0.267987,0,0.160792,0.267987,0,0.160792,19,544,0.0349265,0,1
1762174417.636441,-0.00823836,0.079224,-0.996823,24.6992,7.70059,0.265562,0.132576,0.212368,0.265562,0.132576,0.212368,21,528,0.0397727,0,0
1762174417.686492,-0.0113898,0.105562,-0.994348,24.4606,7.73184,0.264637,0,0.158782,0.264637,0,0.158782,17,560,0.0303571,0,1
1762174417.736453,-0.000823288,0.0760094,-0.997107,25.0206,8.03725,0.275816,0,0.16549,0.275816,0,0.16549,17,512,0.0332031,0,1
1762174417.786475,-0.00723857,0.0764369,-0.997048,24.7858,7.60464,0.263879,0,0.158328,0.263879,0,0.158328,19,512,0.0371094,0,1
1762174417.836456,-0.00348916,0.0781445,-0.996936,24.5088,7.67496,0.263633,0,0.15818,0.263633,0,0.15818,19,560,0.0339286,0,1
1762174417.886465,-0.00370452,0.115288,-0.993325,24.7779,7.88669,0.270527,0,0.162316,0.270527,0,0.162316,15,480,0.03125,0,1
1762174417.936521,0.0135291,0.141099,-0.989903,24.3522,7.61572,0.261145,0,0.156687,0.261145,0,0.156687,16,480,0.0333333,0,1
1762174417.986477,0.00678389,0.157791,-0.987449,24.4436,7.5854,0.261066,0,0.156639,0.261066,0,0.156639,17,496,0.0342742,0,1
1762174418.036504,0.010743,0.13049,-0.991392,24.4216,7.75685,0.264952,0,0.158971,0.264952,0,0.158971,14,464,0.0301724,0,1
1762174418.086493,0.0148702,0.136006,-0.990596,24.8167,7.81014,0.268981,0,0.161388,0.268981,0,0.161388,16,464,0.0344828,0,1
1762174418.136527,0.0105697,0.14401,-0.98952,24.3214,7.63699,0.26143,0,0.156858,0.26143,0,0.156858,17,496,0.0342742,0,1
1762174418.186545,0.0148838,0.150085,-0.988561,24.6855,7.96792,0.2718,0,0.16308,0.2718,0,0.16308,16,464,0.0344828,0,1
1762174418.236512,0.0074404,0.153696,-0.98809,24.6233,7.7853,0.267041,0,0.160225,0.267041,0,0.160225,14,464,0.0301724,0,1
1762174418.286565,0.00643781,0.158769,-0.987295,24.5468,7.67506,0.2639,0,0.15834,0.2639,0,0.15834,16,448,0.0357143,0,1
1762174418.336526,0.00950219,0.157682,-0.987445,24.6942,7.81279,0.268188,0,0.160913,0.268188,0,0.160913,17,432,0.0393519,0,1
1762174418.386576,0.00979062,0.15837,-0.987331,24.4299,7.72169,0.264183,0,0.15851,0.264183,0,0.15851,18,448,0.0401786,0,1
1762174418.436211,0.0102526,0.154648,-0.987916,24.8901,7.91587,0.272009,0,0.163205,0.272009,0,0.163205,19,496,0.0383065,0,1
1762174418.486196,0.00712385,0.159105,-0.987236,24.4071,7.68367,0.263128,0,0.157877,0.263128,0,0.157877,14,432,0.0324074,0,1
1762174418.536143,0.007463,0.158162,-0.987385,24.756,7.79179,0.268122,0,0.160873,0.268122,0,0.160873,15,416,0.0360577,0,1
1762174418.586189,0.00835716,0.158018,-0.987401,24.5699,7.72549,0.265253,0,0.159152,0.265253,0,0.159152,19,480,0.0395833,0,1
1762174418.636192,0.00388407,0.16095,-0.986955,24.3074,7.61909,0.260911,0,0.156546,0.260911,0,0.156546,15,416,0.0360577,0,1
1762174418.686196,0.00400372,0.159561,-0.98718,24.579,7.6937,0.264565,0,0.158739,0.264565,0,0.158739,17,448,0.0379464,0,1
1762174418.736217,0.0185955,0.129847,-0.991359,24.7717,8.08721,0.275237,0,0.165142,0.275237,0,0.165142,17,464,0.0366379,0,1
1762174418.786242,0.0208709,0.138422,-0.990153,24.4678,7.72749,0.264585,0,0.158751,0.264585,0,0.158751,19,512,0.0371094,0,1
1762174418.836306,0.0149307,0.132386,-0.991086,24.7826,7.74706,0.267244,0,0.160346,0.267244,0,0.160346,19,512,0.0371094,0,1
1762174418.886278,0.0142403,0.141045,-0.989901,24.6111,7.71364,0.26526,0,0.159156,0.26526,0,0.159156,19,496,0.0383065,0,1
1762174418.936216,0.00734157,0.160021,-0.987087,24.5987,7.75244,0.266091,0,0.159655,0.266091,0,0.159655,18,512,0.0351562,0,1
1762174418.986249,0.00975958,0.155545,-0.98778,24.7865,7.68255,0.265737,0,0.159442,0.265737,0,0.159442,17,432,0.0393519,0,1
1762174419.036208,0.0244493,0.132432,-0.99089,24.5245,7.80232,0.266748,0,0.160049,0.266748,0,0.160049,17,480,0.0354167,0,1
1762174419.086297,0.0127398,0.139409,-0.990153,24.6283,7.70968,0.265286,0.132576,0.212202,0.265286,0.132576,0.212202,21,528,0.0397727,0,0
1762174419.136238,0.000873349,0.122261,-0.992498,24.6286,7.79145,0.267223,0,0.160334,0.267223,0,0.160334,16,480,0.0333333,0,1
