timestamp,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback
1.76217e+09,0.0210236,-0.182564,-0.98297,167.723,-4.06357,0.107705,0.0535168,0.0860295,0.107705,0.0535168,0.0860295,28,1744,0.016055,0
1.76217e+09,0.00469486,-0.0310245,-0.999508,167.761,-4.15341,0.10878,0.0630482,0.090487,0.10878,0.0630482,0.090487,23,1216,0.0189145,0
1.76217e+09,-0.0123991,0.108211,-0.994051,167.74,-4.0792,0.107828,0,0.0646966,0.107828,0,0.0646966,18,832,0.0216346,0
1.76217e+09,-0.0151449,0.111497,-0.99365,167.829,-3.96135,0.105519,0.138889,0.118867,0.105519,0.138889,0.118867,24,576,0.0416667,0
1.76217e+09,-0.0180414,0.136153,-0.990524,167.672,-4.0261,0.107487,0.115741,0.110788,0.107487,0.115741,0.110788,20,576,0.0347222,0
1.76217e+09,-0.0144585,0.137576,-0.990386,167.72,-4.14395,0.10891,0,0.0653459,0.10891,0,0.0653459,12,464,0.0258621,0
1.76217e+09,-0.0115435,0.117455,-0.993011,167.839,-3.99819,0.105999,0,0.0635995,0.105999,0,0.0635995,19,496,0.0383065,0
1.76217e+09,-0.00948352,0.122382,-0.992438,167.739,-4.10597,0.108228,0,0.064937,0.108228,0,0.064937,18,512,0.0351562,0
1.76217e+09,-0.010619,0.114176,-0.993404,167.659,-4.07816,0.10834,0,0.0650038,0.10834,0,0.0650038,16,496,0.0322581,0
1.76217e+09,-0.0101362,0.120839,-0.99262,167.725,-4.19392,0.109616,0,0.0657694,0.109616,0,0.0657694,17,496,0.0342742,0
1.76217e+09,-0.0111175,0.120164,-0.992692,167.783,-3.99058,0.106248,0,0.0637489,0.106248,0,0.0637489,18,528,0.0340909,0
1.76217e+09,-0.00912197,0.118215,-0.992946,167.872,-4.01448,0.106025,0,0.0636148,0.106025,0,0.0636148,17,528,0.032197,0
1.76217e+09,-0.0101384,0.119573,-0.992774,167.812,-4.00145,0.10622,0,0.0637321,0.10622,0,0.0637321,17,496,0.0342742,0
1.76217e+09,-0.00611175,0.121579,-0.992563,167.68,-4.15962,0.109405,0.126263,0.116148,0.109405,0.126263,0.116148,20,528,0.0378788,0
1.76217e+09,-0.00919653,0.117096,-0.993078,167.741,-4.06791,0.107653,0.143229,0.121883,0.107653,0.143229,0.121883,22,512,0.0429688,0
1.76217e+09,-0.00699879,0.124808,-0.992156,167.77,-4.07853,0.107621,0,0.0645729,0.107621,0,0.0645729,19,560,0.0339286,0
1.76217e+09,0.00159757,0.118097,-0.993001,167.539,-4.21804,0.111202,0,0.0667211,0.111202,0,0.0667211,17,480,0.0354167,0
